Core capacity,Core capacity code,Year,Amount disbursed for year for capacity (nominal USD),Total disbursed post-2013 for capacity (nominal USD),Percentage of total distributed to this capacity in year
Antimicrobial Resistance (AMR),P.3,2014,356704586.85048485,4427006166.746501,8.06
Antimicrobial Resistance (AMR),P.3,2015,422545705.6554683,4427006166.746501,9.54
Antimicrobial Resistance (AMR),P.3,2016,430489287.65345025,4427006166.746501,9.72
Antimicrobial Resistance (AMR),P.3,2017,452396497.3521408,4427006166.746501,10.22
Antimicrobial Resistance (AMR),P.3,2018,399739366.1471888,4427006166.746501,9.03
Antimicrobial Resistance (AMR),P.3,2019,643907814.2819706,4427006166.746501,14.54
Antimicrobial Resistance (AMR),P.3,2020,838937995.4532739,4427006166.746501,18.95
Antimicrobial Resistance (AMR),P.3,2021,881227338.0922996,4427006166.746501,19.91
Antimicrobial Resistance (AMR),P.3,2022,1057575.2602242713,4427006166.746501,0.02
Biosafety and Biosecurity,P.6,2014,49035867.626367785,799656428.7307811,6.13
Biosafety and Biosecurity,P.6,2015,50454255.30307132,799656428.7307811,6.31
Biosafety and Biosecurity,P.6,2016,133925422.81338665,799656428.7307811,16.75
Biosafety and Biosecurity,P.6,2017,116994190.84598583,799656428.7307811,14.63
Biosafety and Biosecurity,P.6,2018,134278184.24528375,799656428.7307811,16.79
Biosafety and Biosecurity,P.6,2019,161254841.41274825,799656428.7307811,20.17
Biosafety and Biosecurity,P.6,2020,109139513.74930236,799656428.7307811,13.65
Biosafety and Biosecurity,P.6,2021,44574152.73463519,799656428.7307811,5.57
Chemical Events,CE,2014,5673486.734140774,28259887.342089936,20.08
Chemical Events,CE,2015,3460482.0551555273,28259887.342089936,12.25
Chemical Events,CE,2016,7137596.4878154285,28259887.342089936,25.26
Chemical Events,CE,2017,4782765.241020631,28259887.342089936,16.92
Chemical Events,CE,2018,6357980.603622748,28259887.342089936,22.50
Chemical Events,CE,2019,630755.0476607576,28259887.342089936,2.23
Chemical Events,CE,2020,216821.17267406735,28259887.342089936,0.77
Emergency Response Operations,R.2,2014,1184194431.3621876,21082242702.60242,5.62
Emergency Response Operations,R.2,2015,1010018574.9241288,21082242702.60242,4.79
Emergency Response Operations,R.2,2016,1239151417.3563442,21082242702.60242,5.88
Emergency Response Operations,R.2,2017,3149811127.6317234,21082242702.60242,14.94
Emergency Response Operations,R.2,2018,3284517892.3021636,21082242702.60242,15.58
Emergency Response Operations,R.2,2019,3389897779.8187714,21082242702.60242,16.08
Emergency Response Operations,R.2,2020,4536931448.1060505,21082242702.60242,21.52
Emergency Response Operations,R.2,2021,3287056097.8672357,21082242702.60242,15.59
Emergency Response Operations,R.2,2022,663933.2338165634,21082242702.60242,0.00
Food Safety,P.5,2014,213953018.28532636,3386117743.8069005,6.32
Food Safety,P.5,2015,275285268.29397285,3386117743.8069005,8.13
Food Safety,P.5,2016,574110594.7495716,3386117743.8069005,16.95
Food Safety,P.5,2017,655700103.2259109,3386117743.8069005,19.36
Food Safety,P.5,2018,566135265.7850149,3386117743.8069005,16.72
Food Safety,P.5,2019,364294397.4788418,3386117743.8069005,10.76
Food Safety,P.5,2020,307057311.1567731,3386117743.8069005,9.07
Food Safety,P.5,2021,427907518.41577697,3386117743.8069005,12.64
Food Safety,P.5,2022,1674266.415711334,3386117743.8069005,0.05
General IHR Implementation,General IHR,2014,202869271.85372385,1795068891.5272279,11.30
General IHR Implementation,General IHR,2015,402785993.0191567,1795068891.5272279,22.44
General IHR Implementation,General IHR,2016,423447579.4163284,1795068891.5272279,23.59
General IHR Implementation,General IHR,2017,406664967.9075418,1795068891.5272279,22.65
General IHR Implementation,General IHR,2018,184833798.27770332,1795068891.5272279,10.30
General IHR Implementation,General IHR,2019,174456281.0527739,1795068891.5272279,9.72
General IHR Implementation,General IHR,2020,11000,1795068891.5272279,0.00
"IHR Coordination, Communicaton and Advocacy",P.2,2014,95110,13161502.56881166,0.72
"IHR Coordination, Communicaton and Advocacy",P.2,2015,819610.944610125,13161502.56881166,6.23
"IHR Coordination, Communicaton and Advocacy",P.2,2016,817053.4014254125,13161502.56881166,6.21
"IHR Coordination, Communicaton and Advocacy",P.2,2017,4139128.7131234454,13161502.56881166,31.45
"IHR Coordination, Communicaton and Advocacy",P.2,2018,4206531.218354944,13161502.56881166,31.96
"IHR Coordination, Communicaton and Advocacy",P.2,2019,3084068.2912977356,13161502.56881166,23.43
Immunization,P.7,2014,3669488258.21739,39268505407.85299,9.34
Immunization,P.7,2015,3875475036.324852,39268505407.85299,9.87
Immunization,P.7,2016,4348904038.562654,39268505407.85299,11.07
Immunization,P.7,2017,4611877421.7207775,39268505407.85299,11.74
Immunization,P.7,2018,5550032643.000494,39268505407.85299,14.13
Immunization,P.7,2019,6555789620.127207,39268505407.85299,16.69
Immunization,P.7,2020,5569631808.54807,39268505407.85299,14.18
Immunization,P.7,2021,5086580905.790979,39268505407.85299,12.95
Immunization,P.7,2022,725675.560562023,39268505407.85299,0.00
Linking Public Health and Security Authorities,R.3,2014,29905871.32392424,395215249.46437204,7.57
Linking Public Health and Security Authorities,R.3,2015,37929399.749891244,395215249.46437204,9.60
Linking Public Health and Security Authorities,R.3,2016,58558595.74115974,395215249.46437204,14.82
Linking Public Health and Security Authorities,R.3,2017,92882148.18754056,395215249.46437204,23.50
Linking Public Health and Security Authorities,R.3,2018,57630919.486741036,395215249.46437204,14.58
Linking Public Health and Security Authorities,R.3,2019,53937187.40661516,395215249.46437204,13.65
Linking Public Health and Security Authorities,R.3,2020,42679455.68364334,395215249.46437204,10.80
Linking Public Health and Security Authorities,R.3,2021,21346011.546569318,395215249.46437204,5.40
Linking Public Health and Security Authorities,R.3,2022,345660.3382874079,395215249.46437204,0.09
Medical Countermeasures and Personnel Deployment,R.4,2014,277386336.2126794,13068281809.272366,2.12
Medical Countermeasures and Personnel Deployment,R.4,2015,207263780.51942587,13068281809.272366,1.59
Medical Countermeasures and Personnel Deployment,R.4,2016,410230800.6670522,13068281809.272366,3.14
Medical Countermeasures and Personnel Deployment,R.4,2017,1873975012.9392989,13068281809.272366,14.34
Medical Countermeasures and Personnel Deployment,R.4,2018,2483961252.62247,13068281809.272366,19.01
Medical Countermeasures and Personnel Deployment,R.4,2019,3106989922.0869627,13068281809.272366,23.78
Medical Countermeasures and Personnel Deployment,R.4,2020,2978713321.7960005,13068281809.272366,22.79
Medical Countermeasures and Personnel Deployment,R.4,2021,1729522860.733749,13068281809.272366,13.23
Medical Countermeasures and Personnel Deployment,R.4,2022,238521.69472834954,13068281809.272366,0.00
National Laboratory System,D.1,2014,1332092760.7906487,17929632858.37089,7.43
National Laboratory System,D.1,2015,1777492140.3661666,17929632858.37089,9.91
National Laboratory System,D.1,2016,1795229878.4409223,17929632858.37089,10.01
National Laboratory System,D.1,2017,2318549458.1212482,17929632858.37089,12.93
National Laboratory System,D.1,2018,1871216803.7826655,17929632858.37089,10.44
National Laboratory System,D.1,2019,2933559373.7418013,17929632858.37089,16.36
National Laboratory System,D.1,2020,3417292475.496157,17929632858.37089,19.06
National Laboratory System,D.1,2021,2431709051.681992,17929632858.37089,13.56
National Laboratory System,D.1,2022,52490915.94928831,17929632858.37089,0.29
"National Legislation, Policy, and Financing",P.1,2014,2502147945.1534376,22897043844.022682,10.93
"National Legislation, Policy, and Financing",P.1,2015,2976371779.142601,22897043844.022682,13.00
"National Legislation, Policy, and Financing",P.1,2016,2680618934.5701227,22897043844.022682,11.71
"National Legislation, Policy, and Financing",P.1,2017,2540002512.5829353,22897043844.022682,11.09
