Core capacity,Core capacity code,Year,Amount disbursed for year for capacity (nominal USD),Total disbursed post-2013 for capacity (nominal USD),Percentage of total distributed to this capacity in year
Antimicrobial Resistance (AMR),P.3,2014,1300791784.3147798,4224290648.698062,30.79
Antimicrobial Resistance (AMR),P.3,2015,730649905.6763835,4224290648.698062,17.30
Antimicrobial Resistance (AMR),P.3,2016,739357993.7204162,4224290648.698062,17.50
Antimicrobial Resistance (AMR),P.3,2017,294527299.77646136,4224290648.698062,6.97
Antimicrobial Resistance (AMR),P.3,2018,307597839.12319726,4224290648.698062,7.28
Antimicrobial Resistance (AMR),P.3,2019,472615283.38660705,4224290648.698062,11.19
Antimicrobial Resistance (AMR),P.3,2020,149781652.75580576,4224290648.698062,3.55
Antimicrobial Resistance (AMR),P.3,2021,228968889.9444113,4224290648.698062,5.42
Biosafety and Biosecurity,P.6,2014,6655040.689459459,115431969.9072634,5.77
Biosafety and Biosecurity,P.6,2015,23871159.128258258,115431969.9072634,20.68
Biosafety and Biosecurity,P.6,2016,22990375.299237892,115431969.9072634,19.92
Biosafety and Biosecurity,P.6,2017,33246641.892792787,115431969.9072634,28.80
Biosafety and Biosecurity,P.6,2018,24438546.71473873,115431969.9072634,21.17
Biosafety and Biosecurity,P.6,2019,1466857.8762762763,115431969.9072634,1.27
Biosafety and Biosecurity,P.6,2020,2065335.9395000015,115431969.9072634,1.79
Biosafety and Biosecurity,P.6,2021,698012.367,115431969.9072634,0.60
Emergency Response Operations,R.2,2014,673788533.7526634,8068895386.959841,8.35
Emergency Response Operations,R.2,2015,828407642.317104,8068895386.959841,10.27
Emergency Response Operations,R.2,2016,1095623035.9136028,8068895386.959841,13.58
Emergency Response Operations,R.2,2017,1728523464.4745855,8068895386.959841,21.42
Emergency Response Operations,R.2,2018,982729000.2966272,8068895386.959841,12.18
Emergency Response Operations,R.2,2019,1011515530.9864569,8068895386.959841,12.54
Emergency Response Operations,R.2,2020,854216233.4972715,8068895386.959841,10.59
Emergency Response Operations,R.2,2021,884191945.721529,8068895386.959841,10.96
Emergency Response Operations,R.2,2024,6966666.666666667,8068895386.959841,0.09
Emergency Response Operations,R.2,2025,2933333.3333333335,8068895386.959841,0.04
Food Safety,P.5,2014,177290866.02949172,983731998.3608124,18.02
Food Safety,P.5,2015,107318862.8781675,983731998.3608124,10.91
Food Safety,P.5,2016,124112790.86288609,983731998.3608124,12.62
Food Safety,P.5,2017,156053398.41782364,983731998.3608124,15.86
Food Safety,P.5,2018,86222214.29101,983731998.3608124,8.76
Food Safety,P.5,2019,161149410.25403202,983731998.3608124,16.38
Food Safety,P.5,2020,140043239.43834957,983731998.3608124,14.24
Food Safety,P.5,2021,31541216.18905183,983731998.3608124,3.21
Immunization,P.7,2014,1025409770.9343807,18251380521.90221,5.62
Immunization,P.7,2015,1310233734.8350058,18251380521.90221,7.18
Immunization,P.7,2016,2304660681.9745607,18251380521.90221,12.63
Immunization,P.7,2017,2224776558.5799274,18251380521.90221,12.19
Immunization,P.7,2018,2232767811.8454595,18251380521.90221,12.23
