Core capacity,Core capacity code,Year,Amount disbursed for year for capacity (nominal USD),Total disbursed post-2013 for capacity (nominal USD),Percentage of total distributed to this capacity in year
Antimicrobial Resistance (AMR),P.3,2014,1335906406.0074391,5088637668.56798,26.25
Antimicrobial Resistance (AMR),P.3,2015,782167846.9928198,5088637668.56798,15.37
Antimicrobial Resistance (AMR),P.3,2016,800387081.569286,5088637668.56798,15.73
Antimicrobial Resistance (AMR),P.3,2017,294527299.7764615,5088637668.56798,5.79
Antimicrobial Resistance (AMR),P.3,2018,308498289.12319726,5088637668.56798,6.06
Antimicrobial Resistance (AMR),P.3,2019,488446475.0546071,5088637668.56798,9.60
Antimicrobial Resistance (AMR),P.3,2020,582772440.4405079,5088637668.56798,11.45
Antimicrobial Resistance (AMR),P.3,2021,495931829.6036606,5088637668.56798,9.75
Biosafety and Biosecurity,P.6,2014,6655040.689459459,115431969.90726341,5.77
Biosafety and Biosecurity,P.6,2015,23871159.128258254,115431969.90726341,20.68
Biosafety and Biosecurity,P.6,2016,22990375.299237892,115431969.90726341,19.92
Biosafety and Biosecurity,P.6,2017,33246641.892792795,115431969.90726341,28.80
Biosafety and Biosecurity,P.6,2018,24438546.714738738,115431969.90726341,21.17
Biosafety and Biosecurity,P.6,2019,1466857.876276276,115431969.90726341,1.27
Biosafety and Biosecurity,P.6,2020,2065335.9395000015,115431969.90726341,1.79
Biosafety and Biosecurity,P.6,2021,698012.367,115431969.90726341,0.60
Emergency Response Operations,R.2,2014,907174701.1117966,18712546807.04616,4.85
Emergency Response Operations,R.2,2015,1559715646.5252514,18712546807.04616,8.34
Emergency Response Operations,R.2,2016,1424218195.7922,18712546807.04616,7.61
Emergency Response Operations,R.2,2017,1739543866.1200852,18712546807.04616,9.30
Emergency Response Operations,R.2,2018,1016626080.5433944,18712546807.04616,5.43
Emergency Response Operations,R.2,2019,1184772775.725365,18712546807.04616,6.33
Emergency Response Operations,R.2,2020,7184276284.818193,18712546807.04616,38.39
Emergency Response Operations,R.2,2021,3684773679.288823,18712546807.04616,19.69
Emergency Response Operations,R.2,2022,1545577.1210536927,18712546807.04616,0.01
Emergency Response Operations,R.2,2024,6966666.666666667,18712546807.04616,0.04
Emergency Response Operations,R.2,2025,2933333.3333333335,18712546807.04616,0.02
Food Safety,P.5,2014,186187052.5888553,1406899684.6011555,13.23
Food Safety,P.5,2015,120372740.2051155,1406899684.6011555,8.56
Food Safety,P.5,2016,124158428.70288604,1406899684.6011555,8.82
Food Safety,P.5,2017,169305920.8178236,1406899684.6011555,12.03
Food Safety,P.5,2018,168376328.28617078,1406899684.6011555,11.97
Food Safety,P.5,2019,161172015.15362984,1406899684.6011555,11.46
Food Safety,P.5,2020,331734826.5279377,1406899684.6011555,23.58
Food Safety,P.5,2021,145592372.31873643,1406899684.6011555,10.35
Immunization,P.7,2014,1627322512.261134,40873679380.17125,3.98
Immunization,P.7,2015,1845024011.472079,40873679380.17125,4.51
Immunization,P.7,2016,2648550481.926547,40873679380.17125,6.48
Immunization,P.7,2017,2247621246.560467,40873679380.17125,5.50
Immunization,P.7,2018,2440816428.542222,40873679380.17125,5.97
Immunization,P.7,2019,2812262864.28341,40873679380.17125,6.88
Immunization,P.7,2020,11942147106.10509,40873679380.17125,29.22
Immunization,P.7,2021,15308179160.327324,40873679380.17125,37.45
Immunization,P.7,2022,1755568.6929871882,40873679380.17125,0.00
Linking Public Health and Security Authorities,R.3,2014,220257686.32287204,840155245.8999361,26.22
Linking Public Health and Security Authorities,R.3,2015,139794534.40891933,840155245.8999361,16.64
Linking Public Health and Security Authorities,R.3,2016,171364456.37151048,840155245.8999361,20.40
Linking Public Health and Security Authorities,R.3,2017,62369559.58144069,840155245.8999361,7.42
Linking Public Health and Security Authorities,R.3,2018,46409863.264793485,840155245.8999361,5.52
Linking Public Health and Security Authorities,R.3,2019,71101333.04610094,840155245.8999361,8.46
Linking Public Health and Security Authorities,R.3,2020,54482100.37667464,840155245.8999361,6.48
Linking Public Health and Security Authorities,R.3,2021,74375712.52762446,840155245.8999361,8.85
Medical Countermeasures and Personnel Deployment,R.4,2014,58393321.76894029,945151842.9061425,6.18
Medical Countermeasures and Personnel Deployment,R.4,2015,104279797.20536655,945151842.9061425,11.03
Medical Countermeasures and Personnel Deployment,R.4,2016,300812461.75835264,945151842.9061425,31.83
Medical Countermeasures and Personnel Deployment,R.4,2017,223272600.14227438,945151842.9061425,23.62
