"Funder WHO Region","Core capacity","Core capacity code","Total disbursed (nominal USD)","Percentage of disbursements for this Core capacity"
,Antimicrobial Resistance (AMR),P.3,3716135796.334603,75.38
amro,Antimicrobial Resistance (AMR),P.3,778359612.6565716,15.79
euro,Antimicrobial Resistance (AMR),P.3,420649737.73901325,8.53
wpro,Antimicrobial Resistance (AMR),P.3,14757679.137833193,0.30
amro,Biosafety and Biosecurity,P.6,699061730.5678904,80.29
euro,Biosafety and Biosecurity,P.6,135314050.06976023,15.54
,Biosafety and Biosecurity,P.6,35086559.957164384,4.03
wpro,Biosafety and Biosecurity,P.6,1183905.305921521,0.14
amro,Chemical Events,CE,34765946.92903919,65.16
euro,Chemical Events,CE,18591153.9331145,34.84
,Emergency Response Operations,R.2,6684502768.499119,45.86
amro,Emergency Response Operations,R.2,6539946928.428657,44.87
euro,Emergency Response Operations,R.2,1222622863.1167152,8.39
wpro,Emergency Response Operations,R.2,128606398.30897255,0.88
amro,Food Safety,P.5,1853996647.7377894,66.83
,Food Safety,P.5,498529891.40449136,17.97
euro,Food Safety,P.5,301809861.340729,10.88
wpro,Food Safety,P.5,119834302.24152257,4.32
euro,General IHR Implementation,General IHR,3399501860.8560457,99.88
amro,General IHR Implementation,General IHR,4027506.9938158626,0.12
wpro,General IHR Implementation,General IHR,39350.0,0.00
amro,"IHR Coordination, Communicaton and Advocacy",P.2,26803942.341337822,88.59
euro,"IHR Coordination, Communicaton and Advocacy",P.2,3355930.190749225,11.09
wpro,"IHR Coordination, Communicaton and Advocacy",P.2,95110.0,0.31
,Immunization,P.7,29190126754.75532,73.56
amro,Immunization,P.7,7364455732.835382,18.56
euro,Immunization,P.7,2574290598.829269,6.49
wpro,Immunization,P.7,555336330.2667907,1.40
amro,Linking Public Health and Security Authorities,R.3,126157087.9759586,54.83
,Linking Public Health and Security Authorities,R.3,79914592.09030068,34.73
euro,Linking Public Health and Security Authorities,R.3,23857128.14890357,10.37
wpro,Linking Public Health and Security Authorities,R.3,149896.83215299234,0.07
amro,Medical Countermeasures and Personnel Deployment,R.4,6774461370.566764,84.87
,Medical Countermeasures and Personnel Deployment,R.4,1020133076.2598952,12.78
euro,Medical Countermeasures and Personnel Deployment,R.4,132032820.78770007,1.65
wpro,Medical Countermeasures and Personnel Deployment,R.4,55262404.35705279,0.69
,National Laboratory System,D.1,10243101240.824594,61.31
amro,National Laboratory System,D.1,5528203664.009254,33.09
euro,National Laboratory System,D.1,810776121.0796987,4.85
wpro,National Laboratory System,D.1,126276654.5108865,0.76
amro,"National Legislation, Policy, and Financing",P.1,6825176224.513555,44.14
,"National Legislation, Policy, and Financing",P.1,6409381273.597661,41.45
euro,"National Legislation, Policy, and Financing",P.1,2120469748.93644,13.71
wpro,"National Legislation, Policy, and Financing",P.1,108121779.33116312,0.70
,Point of Entry (PoE),PoE,1393531852.4208767,57.15
amro,Point of Entry (PoE),PoE,739415648.8405172,30.32
euro,Point of Entry (PoE),PoE,288987535.2866524,11.85
wpro,Point of Entry (PoE),PoE,16386014.915491147,0.67
,Preparedness,R.1,1518431228.025134,48.85
amro,Preparedness,R.1,815349297.9704807,26.23
euro,Preparedness,R.1,731250531.3710834,23.53
wpro,Preparedness,R.1,43266153.56652291,1.39
,Radiation Emergencies,RE,26374142.171649687,41.71
amro,Radiation Emergencies,RE,22737442.36689158,35.96
euro,Radiation Emergencies,RE,14017385.594088905,22.17
wpro,Radiation Emergencies,RE,96874.45686840246,0.15
,Real Time Surveillance,D.2,15396102994.349836,73.83
amro,Real Time Surveillance,D.2,4531918330.224459,21.73
euro,Real Time Surveillance,D.2,524444120.4730459,2.51
wpro,Real Time Surveillance,D.2,402311892.92599297,1.93
euro,Reporting,D.3,18341478111.241627,64.47
,Reporting,D.3,7485426363.4605255,26.31
amro,Reporting,D.3,2439210774.7427416,8.57
wpro,Reporting,D.3,183965609.30453083,0.65
amro,Risk Communication,R.5,1070836686.5632244,67.59
,Risk Communication,R.5,449778029.3265203,28.39
euro,Risk Communication,R.5,37807870.62137779,2.39
wpro,Risk Communication,R.5,25892294.120648205,1.63
,Unspecified,Unspecified,75216456714.52965,50.05
amro,Unspecified,Unspecified,45927947300.15305,30.56
euro,Unspecified,Unspecified,26200248721.335083,17.43
wpro,Unspecified,Unspecified,2934943365.5760803,1.95
afro,Unspecified,Unspecified,514662.23872455995,0.00
amro,Workforce Development,D.4,14240815012.821287,56.11
,Workforce Development,D.4,5356016532.58564,21.10
euro,Workforce Development,D.4,4991714982.3208275,19.67
wpro,Workforce Development,D.4,789847919.9360847,3.11
,Zoonotic Disease,P.4,2551241242.6320195,46.75
amro,Zoonotic Disease,P.4,1593457841.6500666,29.20
euro,Zoonotic Disease,P.4,1221162421.4427195,22.38
wpro,Zoonotic Disease,P.4,91411949.72690752,1.68
