"Recipient WHO Region","Core capacity","Core capacity code","Total disbursed (nominal USD)","Year"
afro,Unspecified,Unspecified,41549.54465269803,1900.0
afro,Unspecified,Unspecified,88683488.40579711,1970.0
afro,Unspecified,Unspecified,288990.0956284153,1985.0
afro,Unspecified,Unspecified,98608.70218579237,1987.0
afro,Emergency Response Operations,R.2,2807220.3333333335,1991.0
afro,Preparedness,R.1,0.0,1992.0
afro,Zoonotic Disease,P.4,0.0,1992.0
wpro,Unspecified,Unspecified,566035.2798285873,1995.0
wpro,Zoonotic Disease,P.4,361380.13450015185,1995.0
wpro,Zoonotic Disease,P.4,375297.0343259991,1996.0
wpro,Unspecified,Unspecified,617943.3328249694,1996.0
wpro,Zoonotic Disease,P.4,124699.83117643316,1997.0
wpro,Unspecified,Unspecified,188337.742753995,1997.0
,Unspecified,Unspecified,21312314.539434686,1998.0
afro,Workforce Development,D.4,542573.0405228259,1998.0
searo,Unspecified,Unspecified,4522323.334022837,1998.0
amro,Zoonotic Disease,P.4,40266.26064853845,1998.0
wpro,Zoonotic Disease,P.4,333656.9356021115,1998.0
emro,Workforce Development,D.4,518643.3280746375,1998.0
euro,Unspecified,Unspecified,717654.2833834294,1998.0
euro,Workforce Development,D.4,476615.6417881071,1998.0
emro,Reporting,D.3,5983.6292484051,1998.0
euro,National Laboratory System,D.1,24998.049602999847,1998.0
,Immunization,P.7,237225.42599223202,1998.0
,Reporting,D.3,6347.0322507581495,1998.0
emro,Immunization,P.7,518643.3280746375,1998.0
afro,Immunization,P.7,588264.9016622416,1998.0
emro,Unspecified,Unspecified,1477242.3101809383,1998.0
euro,Reporting,D.3,13237.4073561425,1998.0
wpro,"National Legislation, Policy, and Financing",P.1,12916.981013684652,1998.0
afro,National Laboratory System,D.1,53601.87993104405,1998.0
,Real Time Surveillance,D.2,8179.08419423435,1998.0
wpro,Unspecified,Unspecified,3403564.540339196,1998.0
searo,Emergency Response Operations,R.2,22646.75164525425,1998.0
amro,Workforce Development,D.4,151331.51652804165,1998.0
,Workforce Development,D.4,62916.03226334135,1998.0
,"National Legislation, Policy, and Financing",P.1,77323.8036516465,1998.0
wpro,Workforce Development,D.4,2065.09292697965,1998.0
searo,Immunization,P.7,20183.4631500799,1998.0
amro,Unspecified,Unspecified,4619187.202164055,1998.0
afro,Unspecified,Unspecified,14980325.911769653,1998.0
emro,Immunization,P.7,268151.25951131905,1999.0
euro,Immunization,P.7,4841.2669595633,1999.0
euro,National Laboratory System,D.1,28731.285477409452,1999.0
euro,Radiation Emergencies,RE,23737.88170364185,1999.0
afro,National Laboratory System,D.1,257999.77003981947,1999.0
,Reporting,D.3,19970.226208198652,1999.0
euro,Reporting,D.3,10138.7022983915,1999.0
amro,Zoonotic Disease,P.4,29047.6017573799,1999.0
amro,"National Legislation, Policy, and Financing",P.1,242365.9271631386,1999.0
wpro,Zoonotic Disease,P.4,235948.4257320553,1999.0
searo,Workforce Development,D.4,16730.5108746959,1999.0
wpro,Workforce Development,D.4,37496.913692313254,1999.0
,Workforce Development,D.4,90773.7554918122,1999.0
,"National Legislation, Policy, and Financing",P.1,58219.2355639471,1999.0
amro,Workforce Development,D.4,263788.5691635501,1999.0
emro,Workforce Development,D.4,295755.4617310399,1999.0
emro,"National Legislation, Policy, and Financing",P.1,33875.6157486414,1999.0
wpro,"National Legislation, Policy, and Financing",P.1,6518.765961052,1999.0
afro,Workforce Development,D.4,363481.3199714366,1999.0
euro,Workforce Development,D.4,372312.6526511988,1999.0
,Real Time Surveillance,D.2,19244.0361642642,1999.0
,Unspecified,Unspecified,17222982.00449158,1999.0
afro,Unspecified,Unspecified,17122491.878067594,1999.0
amro,Unspecified,Unspecified,6588218.212880579,1999.0
searo,Unspecified,Unspecified,4014683.706221231,1999.0
wpro,Unspecified,Unspecified,3684430.7051009918,1999.0
emro,Unspecified,Unspecified,2092543.2597836438,1999.0
euro,Unspecified,Unspecified,1041826.6226983324,1999.0
emro,Immunization,P.7,135667.71774453355,2000.0
