Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD),Percentage of disbursements for this PHEIC
1078,United States of America,amro,Americas,Northern America,2014-2016 Ebola in West Africa,652660975.48,23.15
1467,World Bank,,,,2014-2016 Ebola in West Africa,369759577,13.12
1075,United Kingdom,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,280610502.104566,9.95
1102,African Development Bank,,,,2014-2016 Ebola in West Africa,255667624.82912922,9.07
1428,United Nations (UN),,,,2014-2016 Ebola in West Africa,212465008.31,7.54
913,China,wpro,Asia,Eastern Asia,2014-2016 Ebola in West Africa,163808120.53,5.81
908,Canada,amro,Americas,Northern America,2014-2016 Ebola in West Africa,108909694.6193667,3.86
1249,International Red Cross and Red Crescent Movement,,,,2014-2016 Ebola in West Africa,90685885.8393322,3.22
1059,Sweden,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,88631579.21151027,3.14
1129,Bill & Melinda Gates Foundation,,,,2014-2016 Ebola in West Africa,61152327.24,2.17
869,Germany,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,58433838.43377282,2.07
1200,European Union,euro,,,2014-2016 Ebola in West Africa,46454417.293913946,1.65
868,Netherlands,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,41023183.93430251,1.46
1333,Oxfam International,,,,2014-2016 Ebola in West Africa,40486357.15173742,1.44
883,Australia,wpro,Oceania,Australia and New Zealand,2014-2016 Ebola in West Africa,37968630.850036934,1.35
1781,Disasters Emergency Committee,,,,2014-2016 Ebola in West Africa,33941462.632688306,1.20
973,Japan,wpro,Asia,Eastern Asia,2014-2016 Ebola in West Africa,30770246,1.09
1154,Chan Zuckerberg Initiative,,,,2014-2016 Ebola in West Africa,25000000,0.89
944,Finland,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,20100647.44273058,0.71
1017,Norway,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,18944107,0.67
1767,UN Pooled Funds,,,,2014-2016 Ebola in West Africa,17642224,0.63
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2014-2016 Ebola in West Africa,16057939,0.57
927,Denmark,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,14469486.712195195,0.51
1460,Wellcome Trust,,,,2014-2016 Ebola in West Africa,12229354.999999998,0.43
