Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD),Percentage of disbursements for this PHEIC
1078,United States of America,amro,Americas,Northern America,2014-2016 Ebola in West Africa,652660975.48,26.02
1467,World Bank,,,,2014-2016 Ebola in West Africa,369759576.99999994,14.74
1075,United Kingdom,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,280610502.104566,11.19
1428,United Nations (UN),,,,2014-2016 Ebola in West Africa,212465008.31,8.47
913,China,wpro,Asia,Eastern Asia,2014-2016 Ebola in West Africa,163808120.53,6.53
1430,United Nations Children's Fund (UNICEF),,,,2014-2016 Ebola in West Africa,136493254.7,5.44
908,Canada,amro,Americas,Northern America,2014-2016 Ebola in West Africa,108909694.61936669,4.34
1249,International Red Cross and Red Crescent Movement,,,,2014-2016 Ebola in West Africa,90685885.83933221,3.62
1059,Sweden,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,88631579.21151027,3.53
1129,Bill & Melinda Gates Foundation,,,,2014-2016 Ebola in West Africa,61152327.24,2.44
869,Germany,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,58433838.43377282,2.33
1200,European Union,euro,,,2014-2016 Ebola in West Africa,46454417.293913946,1.85
868,Netherlands,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,41023183.93430251,1.64
1333,Oxfam International,,,,2014-2016 Ebola in West Africa,40486357.15173742,1.61
883,Australia,wpro,Oceania,Australia and New Zealand,2014-2016 Ebola in West Africa,37968630.85003694,1.51
973,Japan,wpro,Asia,Eastern Asia,2014-2016 Ebola in West Africa,30770246,1.23
1017,Norway,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,18944107,0.76
927,Denmark,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,14469486.712195199,0.58
1030,Republic of Korea,wpro,Asia,Eastern Asia,2014-2016 Ebola in West Africa,8950000,0.36
891,Belgium,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,8945028,0.36
1377,Save the Children,,,,2014-2016 Ebola in West Africa,7691931.762786485,0.31
1055,Spain,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,7129491.050845778,0.28
1060,Switzerland,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,5967662,0.24
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2014-2016 Ebola in West Africa,5741449.707348192,0.23
971,Italy,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,4073611.959731211,0.16
969,Ireland,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,2928557.958001506,0.12
1352,Plan International,,,,2014-2016 Ebola in West Africa,1895771.0778146773,0.08
945,France,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,635324,0.03
1625,HelpAge International,,,,2014-2016 Ebola in West Africa,217553.04229467802,0.01
