"Recipient ID","Recipient name","Total disbursed for capacity (USD, nominal)","Category (country, international, or philanthropy)","Total committed for capacity (USD, nominal)","Total disbursed for capacity (billion USD, nominal)"
1181,Low and middle-income countries (LMIC),33252142176.832653,Country,36324593230.431946,33.25
1411,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",19294880742.72967,International,17370185201.388073,19.29
1013,Nigeria,13459833810.320976,Country,14104293868.329033,13.46
939,Ethiopia,10331573460.578728,Country,10433506802.212498,10.33
965,India,10148931184.69589,Country,10553866740.16077,10.15
1076,United Republic of Tanzania,8987426209.603676,Country,9780109261.339785,8.99
977,Kenya,8631564299.981537,Country,8351435742.71753,8.63
926,Democratic Republic of the Congo,7854831061.6649685,Country,8439047006.352684,7.85
1072,Uganda,7671243851.477177,Country,8140216241.3325615,7.67
1053,South Africa,7036934755.532382,Country,7602810507.680611,7.04
1005,Mozambique,6924504812.46107,Country,7373180355.524755,6.92
1019,Pakistan,6101119852.081145,Country,6492468223.373457,6.10
888,Bangladesh,6061911623.197818,Country,6224464467.949551,6.06
1087,Zambia,5844838182.936863,Country,6318556229.322591,5.84
992,Malawi,5236046906.650176,Country,5477911986.417205,5.24
1088,Zimbabwe,5077659914.315416,Country,5049109385.479848,5.08
1098,Africa,4002120386.89217,Country,5303000667.379762,4.00
1401,Sub-Saharan Africa,3854973347.425583,Country,4240630824.1566057,3.85
1224,Global Alliance for Vaccines and Immunisation (GAVI),3203352957.1800003,International,2196076830.92,3.20
951,Ghana,3096561049.0931177,Country,3101236988.247537,3.10
1034,Rwanda,3023518281.9826965,Country,3229203068.3110685,3.02
1006,Myanmar,2965629311.1411223,Country,2886403995.312073,2.97
1054,South Sudan,2735379489.653815,Country,2811619214.973147,2.74
924,Cote d'Ivoire,2648977186.5712447,Country,2779338935.4205823,2.65
966,Indonesia,2630678010.183727,Country,2769643575.109897,2.63
995,Mali,2441816351.658834,Country,2734590925.611617,2.44
1086,Yemen,2439221581.7388906,Country,2344755909.1379366,2.44
913,China,2412014801.2366633,Country,2405939461.7224207,2.41
907,Cameroon,2281883067.6061296,Country,2433184161.208802,2.28
903,Burkina Faso,2260158523.7948217,Country,2462218613.235031,2.26
1046,Sierra Leone,2217196428.202667,Country,1745696319.3785145,2.22
1083,Viet Nam,2201345695.060556,Country,2744253999.437895,2.20
959,Haiti,2193858199.2976985,Country,2622179011.4939375,2.19
871,Afghanistan,2036728899.898859,Country,2262785761.876668,2.04
1052,Somalia,1982615086.611293,Country,2128287221.5762787,1.98
1057,Sudan,1979824848.1197414,Country,2083789726.7998953,1.98
1009,Nepal,1917334394.9333851,Country,1936568172.181027,1.92
1023,Papua New Guinea,1713310957.2940302,Country,2341260206.00372,1.71
1012,Niger,1677740630.5084262,Country,1918164262.4240384,1.68
906,Cambodia,1661514202.7447076,Country,1831562514.3463194,1.66
880,Argentina,1653747299.0582151,Country,1436249228.879522,1.65
904,Burundi,1623038044.2858474,Country,1908639431.087024,1.62
1043,Senegal,1613554620.8237712,Country,1894825387.514367,1.61
898,Brazil,1611449657.844382,Country,1903184109.6042295,1.61
991,Madagascar,1564054656.90853,Country,1644645670.541325,1.56
1000,Mexico,1519751929.947442,Country,102219017.70698184,1.52
985,Liberia,1360209801.337691,Country,1336489444.9700186,1.36
893,Benin,1321949879.311298,Country,1316974800.6847792,1.32
1026,Philippines,1265216327.1006663,Country,1289926650.168459,1.27
877,Angola,1233874981.6360385,Country,1279833937.129095,1.23
1073,Ukraine,1161122611.9788353,Country,1213851153.899559,1.16
956,Guinea,1159977349.9287992,Country,1292832933.6404223,1.16
984,Lesotho,1124909393.0252082,Country,1236666831.6980073,1.12
1004,Morocco,1071919377.7068352,Country,1255275455.456577,1.07
1118,Asia,1065651300.9992659,Country,1228088874.321475,1.07
911,Chad,1061212890.2902861,Country,1154038803.9875145,1.06
914,Colombia,1038629942.1569436,Country,1173390522.6135993,1.04
1011,Nicaragua,897012103.3099668,Country,924587188.8268808,0.90
938,Eswatini,888415012.6475147,Country,1048622832.9056958,0.89
1007,Namibia,871303107.6095687,Country,934968750.5010301,0.87
1069,Turkey,863567289.6589215,Country,999092118.6069645,0.86
933,Egypt,848355170.9908274,Country,1569778328.5350456,0.85
954,Guatemala,841013860.3285563,Country,1115594406.271116,0.84
1065,Togo,825196752.0331463,Country,876856715.8060157,0.83
981,Lao People's Democratic Republic,814149962.1766082,Country,848222286.5711716,0.81
930,Dominican Republic,790713160.3267354,Country,818391612.9249611,0.79
975,Jordan,784198334.1436712,Country,810000637.2070329,0.78
962,Honduras,780479460.2277657,Country,721960542.0639267,0.78
1064,Thailand,740216713.1093963,Country,783448402.5856419,0.74
1080,Uzbekistan,701711445.5152588,Country,879557039.3809233,0.70
895,Bolivia,669073577.5754737,Country,1054039177.349084,0.67
910,Central African Republic,643036408.6719898,Country,754229015.6783615,0.64
1168,Clinton Health Access Initiative,590403352,International,716750553,0.59
1021,Palestine,584782097.2837892,Country,405718150.2862205,0.58
1063,Tajikistan,576911278.415789,Country,809452809.492755,0.58
980,Kyrgyzstan,562885579.7135434,Country,618051291.6888145,0.56
1025,Peru,555493394.5126328,Country,819785469.2987397,0.56
897,Botswana,544677204.597741,Country,635513218.6705172,0.54
1169,Coalition for Epidemic Preparedness Innovations (CEPI),510567193.1646008,International,900589233.6331049,0.51
1110,America,444385796.7253828,Country,450225670.0065593,0.44
1032,Romania,441100783.7809998,Country,1247892353.3450987,0.44
1033,Russian Federation,428119575.9678512,Country,428997257.3624099,0.43
936,Eritrea,426082438.74671155,Country,449841172.67421514,0.43
1061,Syrian Arab Republic,406619720.7990437,Country,448419595.7771399,0.41
934,El Salvador,400481696.8196045,Country,539846496.7193335,0.40
949,Gambia,400469841.228751,Country,471316082.0882506,0.40
983,Lebanon,378303686.8790906,Country,414725595.4243606,0.38
976,Kazakhstan,376278282.1513444,Country,524334970.9429005,0.38
957,Guinea Bissau,357186082.05901754,Country,419477388.1507086,0.36
925,Democratic People's Republic of Korea,340888446.5625418,Country,397237552.61665666,0.34
916,Congo,338538157.107773,Country,405509027.4443945,0.34
1060,Switzerland,336952909.3130713,Country,208418375.79000008,0.34
1056,Sri Lanka,323658546.9616372,Country,509080531.40456694,0.32
932,Ecuador,320938626.35746944,Country,406322850.96190697,0.32
950,Georgia,306294097.61090654,Country,289962980.8185177,0.31
968,Iraq,305023525.9082883,Country,436956882.39471465,0.31
931,Timor-Leste,290117954.5633529,Country,372101828.33288926,0.29
1075,United Kingdom,289236719.84751236,Country,114811895.56619643,0.29
1002,Mongolia,281199010.62849635,Country,434597864.8561628,0.28
998,Mauritania,277277126.2491032,Country,412231295.0603317,0.28
972,Jamaica,274851299.0503607,Country,320958125.85261226,0.27
