Recipient ID,Recipient name,"Total disbursed for capacity (USD, nominal)","Category (country, international, or philanthropy)","Total committed for capacity (USD, nominal)"
1181,Low and middle-income countries (LMIC),23566003276.94837,Country,24530102124.46163
1411,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",12437049455.242111,International,11346424235.636383
1013,Nigeria,9307725453.899534,Country,11416000543.189672
939,Ethiopia,6543099598.429656,Country,7414412989.080626
1076,United Republic of Tanzania,6343029794.838212,Country,7254048606.596026
926,Democratic Republic of the Congo,5906563167.020668,Country,6593363984.178038
977,Kenya,5823167934.829623,Country,6336852269.598196
1072,Uganda,5486643129.868741,Country,6115649239.286628
965,India,5482240737.221479,Country,7645417127.571537
1053,South Africa,5034996105.3622,Country,5620051732.293197
1005,Mozambique,4970632282.230292,Country,5713757324.595484
1019,Pakistan,4378563584.769559,Country,5632964122.128058
1087,Zambia,3947557363.676159,Country,4620281112.195168
888,Bangladesh,3932747823.776495,Country,4206939699.9833136
992,Malawi,3633919643.7537847,Country,4392193218.369431
1088,Zimbabwe,3379855495.181736,Country,3941331007.900874
1098,Africa,3125591564.4563627,Country,3795651121.6287293
1054,South Sudan,2638107147.141486,Country,2427497082.2760973
1401,Sub-Saharan Africa,2466517801.0626783,Country,2835633051.113608
1086,Yemen,2219480535.3168106,Country,2031112079.267521
1046,Sierra Leone,2038588764.0445259,Country,1277655513.6820269
924,Cote d'Ivoire,1978018577.4251273,Country,2299987690.5611773
1034,Rwanda,1875403265.275197,Country,2505290539.724656
871,Afghanistan,1854810716.212684,Country,2049155608.5479033
1006,Myanmar,1801503398.7779415,Country,2282626023.255661
951,Ghana,1778317496.3892562,Country,2072826150.3490903
995,Mali,1773548558.4459963,Country,2144666584.8121912
903,Burkina Faso,1713782612.3102617,Country,2070520863.0116436
907,Cameroon,1601713485.6617427,Country,1866650828.823013
959,Haiti,1569727281.9154062,Country,1791480257.8359234
1057,Sudan,1553493458.1365795,Country,2113833385.9241948
1052,Somalia,1452571504.6004362,Country,1621650316.4329963
966,Indonesia,1413859929.7251148,Country,1970304678.007874
1009,Nepal,1328300411.9516222,Country,1387982599.9358797
1083,Viet Nam,1323112078.7238517,Country,1562933957.2285717
1012,Niger,1234382783.681897,Country,1574047702.5675817
880,Argentina,1232039786.8901532,Country,1086396202.1305985
904,Burundi,1195570118.8613482,Country,1448701677.9354365
1043,Senegal,1159705301.4509504,Country,1536760132.6567874
898,Brazil,1145407397.202209,Country,930282960.6120473
991,Madagascar,1126729370.7585914,Country,1289726456.7433043
985,Liberia,1060046784.2468224,Country,1086295412.8724523
1023,Papua New Guinea,1057966061.073148,Country,1497135195.8483894
913,China,1019628342.4080788,Country,1701792286.1766813
1073,Ukraine,958089629.4015139,Country,1310112385.8822086
906,Cambodia,952644552.2531105,Country,1229678364.7150621
893,Benin,946957475.7910064,Country,946210345.630945
956,Guinea,941496434.2265896,Country,1167064093.3082926
911,Chad,866311426.3807874,Country,951340055.6066781
930,Dominican Republic,856796993.6709783,Country,814891021.8158823
1118,Asia,844737156.2470835,Country,833265520.1504766
1026,Philippines,842332928.3149222,Country,939036864.349641
1069,Turkey,782453184.9525614,Country,902426658.8610959
877,Angola,772393926.9312171,Country,840796540.4167233
914,Colombia,677288480.8194892,Country,1144363995.198348
984,Lesotho,641067387.0046462,Country,790067226.2218018
1004,Morocco,628606120.4791788,Country,703139036.2290496
975,Jordan,624516858.4543574,Country,644956754.0208874
1025,Peru,619797546.8134537,Country,874586601.5469583
933,Egypt,618460467.487855,Country,1421094837.9862013
938,Eswatini,589898588.0386455,Country,737804378.6446327
1169,Coalition for Epidemic Preparedness Innovations (CEPI),585194932.8846008,International,1207244920.0491004
1065,Togo,552106321.0542697,Country,682675070.1094042
981,Lao People's Democratic Republic,516081906.9035717,Country,591176245.6962992
910,Central African Republic,509287419.240675,Country,619317309.3400321
954,Guatemala,488368948.0680462,Country,793502012.9181978
1080,Uzbekistan,484178891.78640205,Country,619759301.8017492
1060,Switzerland,480421833.22934073,Country,1823357031.9435763
1011,Nicaragua,480419127.3235028,Country,469327773.8769601
895,Bolivia,461922664.83409655,Country,834738460.7703164
1110,America,446392952.7762044,Country,443044036.36461353
1061,Syrian Arab Republic,439264453.5196194,Country,445519349.8332709
962,Honduras,430765581.57362485,Country,406830176.48912615
983,Lebanon,407980443.92678493,Country,411530860.8998804
918,Costa Rica,406868423.63657033,Country,434998933.6207463
1021,Palestine,402262182.6661879,Country,256578582.86337343
1063,Tajikistan,391400105.93776274,Country,585603705.486977
897,Botswana,368115820.25026727,Country,413263613.8195953
1007,Namibia,354994801.38790065,Country,439591963.4760971
980,Kyrgyzstan,351172806.26385987,Country,380643649.46668017
1000,Mexico,334482309.8654186,Country,28506809.44152764
1032,Romania,283024957.48302954,Country,1098357470.5356157
972,Jamaica,271809741.402173,Country,297851598.88199615
1064,Thailand,271459743.4957002,Country,350723774.9691192
925,Democratic People's Republic of Korea,267838746.04421622,Country,338529548.97903496
934,El Salvador,247167504.69465798,Country,326983289.3471242
957,Guinea Bissau,245399213.82006824,Country,336617042.6576939
1056,Sri Lanka,235570857.43420503,Country,526794141.3885193
936,Eritrea,225659624.16101283,Country,331308289.4243335
968,Iraq,214483986.1816549,Country,200313509.1301687
1075,United Kingdom,207811949.90910152,Country,86819241.73749183
949,Gambia,206060649.5937767,Country,326420267.79293776
916,Congo,201039355.8035033,Country,319169266.170791
976,Kazakhstan,193978669.66113016,Country,320302382.62613875
931,Timor-Leste,190551532.50563645,Country,194132358.5871649
998,Mauritania,189971318.07623136,Country,318690630.80446035
950,Georgia,153102048.26754677,Country,145056747.08296552
1051,Solomon Islands,152066415.199786,Country,112343290.29116862
