Funder ID,Funder name,"Total disbursed for capacity (USD, nominal)","Category (country, international, or philanthropy)",Recipient IDs,"Total committed for capacity (USD, nominal)"
1078,United States of America,50342084731.759415,Country,"{871,873,874,877,879,880,881,885,886,888,889,892,893,895,896,897,898,903,904,906,907,910,911,912,913,914,915,916,918,924,925,926,927,928,929,930,931,932,933,934,935,937,938,939,942,943,948,949,950,951,952,954,956,957,958,959,962,965,966,968,970,971,972,973,975,976,977,980,981,983,984,985,988,991,992,993,995,997,998,1000,1002,1004,1005,1006,1007,1009,1011,1012,1013,1016,1018,1019,1021,1022,1023,1024,1025,1026,1027,1029,1030,1031,1032,1033,1034,1039,1041,1043,1044,1046,1052,1053,1054,1056,1057,1058,1060,1063,1064,1065,1067,1068,1069,1070,1072,1073,1074,1076,1078,1080,1081,1082,1083,1086,1087,1088,1110,1118,1144,1150,1151,1181,1190,1218,1277,1287,1401,1411,1419}",56016956630.24968
1411,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",30655765456.509995,International,"{871,873,874,877,880,881,885,888,890,892,893,894,895,896,897,902,903,904,905,906,907,910,911,913,914,915,916,918,920,924,925,926,928,930,931,932,933,934,936,938,939,943,948,949,950,951,954,956,957,958,959,962,965,966,967,968,972,975,976,977,980,981,984,985,991,992,993,995,998,999,1000,1002,1003,1004,1005,1006,1007,1009,1011,1012,1013,1016,1019,1021,1022,1023,1024,1025,1026,1031,1032,1033,1034,1041,1043,1044,1046,1051,1052,1053,1054,1056,1057,1058,1061,1063,1064,1065,1068,1070,1072,1073,1076,1079,1080,1082,1083,1086,1087,1088,1110,1144,1145,1189,1190,1277,1279,1300,1392,1393,1442,1462,1854,1855,1856,1857}",39275141148.22
1129,Bill & Melinda Gates Foundation,16470119784.488045,Philanthropy,"{871,877,880,881,888,892,893,894,895,897,898,903,904,906,907,910,911,912,913,914,915,916,918,920,924,925,926,928,931,932,933,934,935,936,938,939,943,948,949,951,954,956,957,958,959,962,965,966,968,975,977,980,981,983,984,985,991,992,993,995,998,1000,1002,1005,1006,1007,1009,1011,1012,1013,1019,1021,1022,1023,1025,1026,1034,1039,1041,1043,1046,1051,1052,1053,1054,1056,1057,1061,1063,1064,1065,1069,1072,1076,1080,1082,1083,1086,1087,1088,1098,1110,1118,1169,1181,1190,1195,1300,1317,1326,1390,1401}",16788744571.745598
1467,World Bank,15183541330.45221,International,"{871,873,877,880,881,885,888,889,893,894,895,896,897,898,903,904,906,907,910,911,913,914,915,916,918,919,924,926,928,930,933,934,938,939,948,949,950,951,954,956,957,959,962,965,966,972,975,976,977,980,981,983,984,985,991,992,994,995,997,998,1002,1004,1005,1006,1009,1011,1012,1013,1019,1021,1022,1023,1024,1025,1026,1031,1032,1034,1036,1039,1041,1043,1044,1045,1046,1052,1054,1056,1057,1063,1065,1068,1069,1071,1072,1073,1076,1079,1080,1083,1086,1087,1098,1277,1401,1462}",20196649359.119274
1428,United Nations (UN),13038219307.730259,International,"{871,873,874,877,880,881,885,886,888,889,890,892,893,894,895,896,897,898,902,903,904,905,906,907,910,911,912,913,914,915,916,918,919,920,924,925,926,928,930,931,932,933,934,935,936,938,939,943,945,948,949,950,951,954,956,957,958,959,962,965,966,967,968,972,975,976,977,978,980,981,983,984,985,986,991,992,993,994,995,998,999,1000,1002,1003,1004,1005,1006,1007,1009,1011,1012,1013,1016,1018,1019,1021,1022,1023,1024,1025,1026,1031,1032,1034,1038,1041,1042,1043,1044,1045,1046,1052,1053,1054,1056,1057,1058,1060,1061,1063,1064,1065,1066,1067,1068,1069,1070,1072,1073,1076,1078,1079,1080,1082,1083,1086,1087,1088,1118,1119,1181,1218,1277,1300,1428,1439}",13771055409.868172
1224,Global Alliance for Vaccines and Immunisation (GAVI),11759971615.36901,International,"{871,873,874,877,881,885,888,893,894,895,903,904,905,906,907,910,911,915,916,920,924,925,926,928,929,931,933,934,936,938,939,942,943,949,950,951,953,956,957,958,959,962,965,966,967,977,978,980,981,984,985,991,992,994,995,997,998,1002,1004,1005,1006,1009,1011,1012,1013,1019,1021,1023,1026,1031,1034,1036,1038,1039,1041,1043,1046,1051,1052,1054,1056,1057,1061,1063,1065,1066,1068,1071,1072,1073,1076,1080,1081,1083,1086,1087,1088,1181,1277}",23143929834.078793
1075,United Kingdom,10105323939.380194,Country,"{871,873,874,877,879,880,881,882,885,886,887,888,889,890,892,893,894,895,896,897,898,900,901,903,904,905,906,907,909,910,911,912,913,914,915,916,918,919,920,922,924,925,926,928,929,930,931,932,933,934,935,936,938,939,940,942,943,945,946,948,949,950,951,953,954,956,957,958,959,962,965,966,967,968,970,972,975,976,977,978,979,980,981,983,984,985,986,990,991,992,993,994,995,996,997,998,999,1000,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1016,1018,1019,1020,1021,1022,1023,1024,1025,1026,1029,1030,1031,1034,1035,1036,1038,1039,1041,1042,1043,1044,1046,1047,1050,1051,1052,1053,1054,1056,1057,1058,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1078,1080,1081,1082,1083,1084,1086,1087,1088,1098,1116,1118,1144,1162,1169,1181,1189,1190,1218,1277,1300,1305,1309,1320,1347,1367,1368,1390,1393,1401,1416,1418,1462}",8930917053.15342
1200,European Union,6037564263.610589,Country,"{873,874,877,880,882,888,890,892,893,895,896,897,903,904,905,906,907,910,911,912,913,915,916,918,920,924,926,928,930,931,933,934,936,938,939,943,948,949,950,951,953,954,956,957,958,959,962,965,966,967,968,970,972,975,976,977,978,981,983,984,985,986,991,992,993,995,998,999,1000,1003,1004,1005,1006,1007,1009,1011,1012,1013,1016,1019,1021,1023,1024,1025,1026,1031,1033,1034,1036,1038,1041,1043,1044,1045,1046,1052,1053,1054,1056,1057,1061,1063,1064,1065,1066,1067,1068,1069,1070,1072,1073,1076,1079,1080,1082,1083,1086,1087,1088,1098,1110,1118,1144,1151,1169,1181,1190,1195,1218,1277,1287,1300,1317,1326,1390,1394,1401}",4873855010.190674
869,Germany,5567766626.335042,Country,"{873,881,885,888,890,893,894,895,896,897,898,903,904,906,907,910,911,913,914,920,924,925,926,928,930,931,932,933,934,936,938,939,949,950,951,954,956,957,959,962,965,966,967,968,970,972,975,976,977,980,981,983,985,986,991,992,993,995,998,1000,1002,1003,1004,1005,1006,1007,1009,1011,1012,1013,1016,1019,1021,1023,1024,1025,1026,1031,1034,1043,1044,1046,1052,1053,1054,1056,1057,1061,1063,1064,1065,1068,1069,1070,1072,1073,1076,1080,1083,1086,1087,1088,1098,1110,1118,1169,1181,1195,1218,1277,1300,1390,1401,1411}",4100904849.6006045
908,Canada,4188554080.617231,Country,"{877,879,880,888,889,892,893,894,895,897,898,903,904,906,907,908,910,911,912,913,914,918,920,924,926,928,929,930,932,933,934,938,939,943,948,949,951,953,954,956,957,958,959,962,965,966,968,972,975,977,978,981,983,984,985,986,991,992,993,995,998,1000,1004,1005,1006,1007,1008,1009,1011,1012,1013,1019,1021,1022,1023,1024,1025,1026,1034,1035,1036,1038,1039,1043,1046,1051,1052,1053,1054,1056,1057,1058,1064,1065,1066,1067,1068,1069,1071,1072,1073,1076,1079,1081,1082,1083,1086,1087,1088,1098,1110,1118,1140,1144,1145,1157,1169,1181,1190,1195,1206,1218,1251,1253,1300,1326,1339,1390,1394,1401,1472,1474}",4280990962.7680306
