"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
United States of America,1078,18303772189.546406
United Kingdom,1075,5086739678.348849
European Union,1200,3411298857.7105684
Netherlands,868,1784712135.6940908
Canada,908,1699267347.8314857
Germany,869,1101861504.3311608
Australia,883,902824986.6361212
Norway,1017,716568756.5735847
Sweden,1059,521430230.3503603
Italy,971,286320585.0117355
Denmark,927,275121471.3150637
France,945,240101755.13633135
Finland,944,159819677.92294234
New Zealand,1010,107023703.9894074
Switzerland,1060,96420927.74110866
Belgium,891,85452535.82751882
Spain,1055,39448013.686386876
Japan,973,22778079.349999998
Ireland,969,9277822.925635017
Family Guidance Association of Ethiopia,1831,2768071.53888964
