"Funder name (country only, from among top 50 only)",Funder ID,Total disbursed to other countries post-2013 for capacity (nomi
United States of America,1078,36050407918.31984
United Kingdom,1075,5839640155.988998
European Union,1200,4138477305.5128236
Germany,869,3249290482.379831
Canada,908,2211971134.838121
Australia,883,1306998598.4617493
Netherlands,868,985562451.9064751
France,945,594586636.6328398
Sweden,1059,412404645.22887486
Italy,971,272095890.26470363
Norway,1017,223008123.11684436
Belgium,891,188491881.64605093
Denmark,927,181431536.01328284
Switzerland,1060,168685742.15492472
Finland,944,150853981.34322718
Spain,1055,145281210.64666188
Japan,973,132368242.17174166
New Zealand,1010,129468009.70253249
Republic of Korea,1030,122583405.4684501
Ireland,969,78232289.19376665
