"Funder name","Total disbursed (nom. USD)"
United States of America,4821762965.556667
European Union,1901351147.504728
Sweden,1632363209.5127897
Germany,1231144528.8105376
France,632614310.2007056
United Kingdom,623820626.2979848
Netherlands,334930083.62909615
New Zealand,283547760.2678258
Switzerland,235012773.32371622
Republic of Korea,185342253.23669225
Canada,180321332.85040805
Denmark,179599464.14771402
Australia,114814224.27124327
Spain,83919576.7008293
Finland,47208555.08076358
Ireland,27081274.64539977
Belgium,25484955.862858444
Italy,16878419.106648143
Slovenia,468510.5563232738
