"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to int'l orgs. post-2013 for cap. (nom. USD)"
United States of America,1078,14232317178
Germany,869,1133764586.079105
Canada,908,1113892354.998064
Netherlands,868,308651793.52231205
Australia,883,240101936.5749936
Norway,1017,141439159.34199598
United Kingdom,1075,89585458.44746816
Sweden,1059,86804574.19695568
Japan,973,75080000
European Union,1200,28306165.844100002
Belgium,891,9618796.85588
Republic of Korea,1030,5000000.0
