"Funder name","Total disbursed (nom. USD)"
United Kingdom,56511175.15833333
United States of America,40447384.5992295
European Union,17796633.545333333
Germany,15069351.706666667
Canada,12981239.072683832
Norway,11450944.381333334
Japan,9777266.705695666
Sweden,6894890.845211279
China,4666666.666666666
Belgium,4400000.0
Denmark,3611074.333333333
Republic of Korea,2316666.6666666665
Ireland,2200000.0
Netherlands,2075550.0
Brazil,1738352.3333333333
Kuwait,1666666.6666666667
Australia,1522972.6666666665
Turkey,1500000.0
Italy,889442.1090666668
Switzerland,846861.0
Luxembourg,667422.6666666666
Equatorial Guinea,583589.0
Russian Federation,478736.6666666667
New Zealand,384468.3333333333
Mexico,333333.3333333333
Qatar,333333.3333333333
Finland,211774.66666666666
France,211774.66666666666
India,166666.66666666666
Spain,151451.0
South Africa,108575.0
Greece,83437.66666666667
Portugal,75585.66666666667
Thailand,50968.333333333336
Singapore,50000.0
Poland,48772.333333333336
Brunei Darussalam,33333.333333333336
Guinea,33333.333333333336
Estonia,26543.666666666668
Monaco,21177.333333333332
Hungary,20859.333333333332
Croatia,16000.0
Slovenia,12706.333333333334
Andorra,6684.333333333333
Slovakia,6316.666666666667
