"Funder name","Total disbursed (nom. USD)"
Germany,1111709757.0400002
United Kingdom,501035071.825
European Union,351986834.212
Norway,259879364.528
Japan,214648771.03902897
Canada,203233483.25375053
Saudi Arabia,163000000
United States of America,100795987.5992295
Kuwait,90500000
Netherlands,74920958
Iran,51793834
France,50664100.99999999
China,42100000
Denmark,41826384
Sweden,37011920.17854461
Australia,26781562
Switzerland,21552787
Republic of Korea,20709380
Yemen,20000000
Belgium,19039864
Italy,18435817.4424
Afghanistan,15261849
Finland,14863667
Ireland,13597549
Guinea Bissau,11831789
Spain,11286743
India,10499999.999999998
Azerbaijan,10000000
Israel,8793267.0
East African Community,8518534.0
New Zealand,6978209.0
Gabon,6827642.0
Brazil,5817901.999999999
Lebanon,5562072.0
"Venezuela, Bolivarian Republic of",5000000.0
Austria,4616884.0
Luxembourg,3937837.0
Madagascar,3700000.0
Philippines,3500895.0
Sao Tome and Principe,3329579.0
Central African Republic,2450000.0
Serbia,2303753.0
Chad,2145554.0
Guinea,1894461.9999999998
Equatorial Guinea,1750767.0
Mexico,1599999.9999999998
Turkey,1500000.0
Russian Federation,1436210.0
Comoros,1356625.0
Democratic Republic of the Congo,1285398.0
Mali,1106717.0
Portugal,1087466.0
Liberia,1073696.0
Bolivia,1000000.0
Qatar,1000000.0
Indonesia,1000000.0
Singapore,950000.0
Mauritania,933169.0
Hungary,862578.0
Cameroon,695827.0
Libya,480000.0
Monaco,474813.0
Czech Republic,463228.0
Cote d'Ivoire,439351.0
Slovakia,417816.00000000006
Egypt,356830.0
South Africa,325725.0
Liechtenstein,320513.0
Thailand,302905.0
Chile,300000.0
Greece,250313.0
Romania,240000.0
Estonia,238425.0
Iceland,204290.0
Lesotho,162912.0
Poland,146317.0
Holy See,131720.0
Malta,122032.0
Cyprus,116726.0
Bulgaria,111982.0
Lithuania,111765.0
Slovenia,105991.99999999999
Colombia,100000.0
Brunei Darussalam,100000.0
Malaysia,100000.0
Guyana,50363.0
Kazakhstan,50000.0
Latvia,48876.0
Peru,48479.0
Croatia,48000.0
Georgia,25000.0
Andorra,20053.0
Mauritius,20000.0
Montenegro,5000.0
Togo,1581.0
