"Funder name","Total disbursed (nom. USD)"
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",14410454987.249989
World Bank,5537921382.181432
Global Alliance for Vaccines and Immunisation (GAVI),5288030121.780004
United Nations (UN),5163014248.568504
Inter-American Development Bank,984168315
Asian Development Bank,679534309.43
Sightsavers,200358758.4785526
MSI Reproductive Choices,192585714.35093498
Malaria Consortium,144149393.56526762
Save the Children,136015583.80895415
International Rescue Committee,109693981.79936166
Palladium International Limited,98567702.59649254
African Development Bank,96161828.28467564
Options Consultancy Services,86085936.93869714
World Health Organization (WHO),84200269.79999988
Action Against Hunger,68161210.99081327
Clinton Health Access Initiative,47961027.489193775
International Labour Organization (ILO),40598647
International Planned Parenthood Federation,35249830.133014716
Cordaid,33688766.063096434
Voluntary Service Overseas (VSO),29233558.377694204
Abt Associates Inc,27320675.74762502
Frontline AIDS,27130123.00867823
Concern Worldwide,25495677.337273516
Restless Development,17435165.17077119
ICCO Cooperation,15062240.97449692
Guttmacher Institute,14805678.94
Plan International,14316791.69855461
World Vision International,14094471.355075758
HelpAge International,13462291.890508194
Nutrition International,11678695.86125364
Health Insurance Fund,11526381.665187819
IMA World Health,11169451.27697082
Crown Agents Limited,10941665.455925785
Aidsfonds - Soa Aids Nederland,9818348.779091394
Simavi,9704685.37090873
Send a Cow,5426038.309021521
The Global Forum on MSM & HIV (MSMGF),5177434.143563186
Oxfam International,4267142.017534491
EngenderHealth Ethiopia,3986550.0
We World - GVC Onlus,3634906.964709345
International Red Cross and Red Crescent Movement,2846186.1349044554
Aeras,2809017.13
Multilateral Investment Fund,2378588.0
International Development Law Organization (IDLO),2341406.2836264395
Tropical Health and Education Trust,1863213.2051039764
International Medical Corps UK,1726815.73954714
Tearfund,1147683.1138708082
Doctors with Africa CUAMM,1130992.528922129
United Purpose,940407.0754692375
International Initiative for Impact Evaluation,782738.2640026767
ActionAid International,765199.3799584841
Afrikagrupperna Sweden,741679.5393466799
Hivos,673420.4150658932
Young Africa International HUB,510067.0368423853
Farm Africa,484088.9852525163
Alliance of Religions and Conservation,418593.9317023003
Samaritan's Purse UK,417550.32975123444
Stichting Vluchteling,363405.339237917
BasicNeeds,358636.2200217234
Leonard Cheshire Disability,287453.45978743484
ZOA,261854.84710081466
The Fred Hollows Foundation (UK),256118.42239877192
ADRA-UK,234980.82339492594
Worldwide Hospice Palliative Care Alliance,204648.56719789607
African Initiatives,177632.31537501508
Agency for Cooperation and Research in Development (ACORD),164559.92791443598
Christian Blind Mission (UK) Ltd.,158174.7514582816
Elrha,154574.46622091997
Royal National Lifeboat Institution (RNLI),144543.81145209106
DeafKidz International,144464.3243861536
Relief International UK,116463.69574310204
ARK (Absolute Return for Kids),111250.00314948094
Anti-Slavery International,89061.88899985948
ChildHope UK,69175.96325513898
Joshua Orphan and Community Care,59283.49921621964
Child.org,40730.20822025835
World Jewish Relief,37594.56967849288
kidasha,15853.605976395062
African Population and Health Research Center,10000.0
Scottish Catholic International Aid Fund (SCIAF),1318.9628240861616
Development Initiatives Poverty Research,937.961549954161
