"Funder name","Total disbursed (nom. USD)"
United Nations (UN),785623723.2044846
World Bank,526884830
Global Alliance for Vaccines and Immunisation (GAVI),393205294.91999996
World Health Organization (WHO),95122735.69999999
International Red Cross and Red Crescent Movement,40107565.86502693
African Development Bank,15937315.582919668
Oxfam International,8668113.845443763
UN Pooled Funds,5885314.0
OCHA Country Based Pooled Funds,3279010.48
Save the Children,2740112.4831047473
Christian Aid,962593.5103336024
International Rescue Committee,158399.5188421468
GlobalGiving.org,101937.0
World Vision International,90000.0
International Labour Organization (ILO),64954.0
Sightsavers,52737.04585612643
Practical Action,12044.119393364961
Malaria Consortium,75.20745751151033
Plan International,1.2478146772554735
