"Core capacity","Core capacity code","Year","Amount disbursed for year for capacity (nominal USD)","Total disbursed post-2013 for capacity (nominal USD)","Percentage of total distributed to this capacity in year"
Antimicrobial Resistance (AMR),P.3,2004.0,522437.1263272529,6225262453.32426,0.01
Antimicrobial Resistance (AMR),P.3,2005.0,763357.8900487126,6225262453.32426,0.01
Antimicrobial Resistance (AMR),P.3,2006.0,1852319.8975899527,6225262453.32426,0.03
Antimicrobial Resistance (AMR),P.3,2007.0,65945909.400295965,6225262453.32426,1.06
Antimicrobial Resistance (AMR),P.3,2008.0,40910719.192363374,6225262453.32426,0.66
Antimicrobial Resistance (AMR),P.3,2009.0,80242617.61542413,6225262453.32426,1.29
Antimicrobial Resistance (AMR),P.3,2010.0,164003019.49066797,6225262453.32426,2.63
Antimicrobial Resistance (AMR),P.3,2011.0,157429908.34655905,6225262453.32426,2.53
Antimicrobial Resistance (AMR),P.3,2012.0,201679515.52013868,6225262453.32426,3.24
Antimicrobial Resistance (AMR),P.3,2013.0,317927109.6094915,6225262453.32426,5.11
Antimicrobial Resistance (AMR),P.3,2014.0,371223207.37956953,6225262453.32426,5.96
Antimicrobial Resistance (AMR),P.3,2015.0,448266260.9554685,6225262453.32426,7.20
Antimicrobial Resistance (AMR),P.3,2016.0,455966916.9634501,6225262453.32426,7.32
Antimicrobial Resistance (AMR),P.3,2017.0,515906621.7721406,6225262453.32426,8.29
Antimicrobial Resistance (AMR),P.3,2018.0,457656382.47718894,6225262453.32426,7.35
Antimicrobial Resistance (AMR),P.3,2019.0,696367953.116607,6225262453.32426,11.19
Antimicrobial Resistance (AMR),P.3,2020.0,898593228.6205543,6225262453.32426,14.43
Antimicrobial Resistance (AMR),P.3,2021.0,1072329120.0454849,6225262453.32426,17.23
Antimicrobial Resistance (AMR),P.3,2022.0,277675847.90488875,6225262453.32426,4.46
Biosafety and Biosecurity,P.6,2005.0,39672.1936727156,1194871273.9687574,0.00
Biosafety and Biosecurity,P.6,2006.0,933333.3333333334,1194871273.9687574,0.08
Biosafety and Biosecurity,P.6,2007.0,1102293.8216796152,1194871273.9687574,0.09
Biosafety and Biosecurity,P.6,2008.0,1090566.1431900635,1194871273.9687574,0.09
Biosafety and Biosecurity,P.6,2009.0,1280085.504801183,1194871273.9687574,0.11
Biosafety and Biosecurity,P.6,2010.0,5846086.2314381,1194871273.9687574,0.49
Biosafety and Biosecurity,P.6,2011.0,2946254.2064843746,1194871273.9687574,0.25
Biosafety and Biosecurity,P.6,2012.0,13999039.174765369,1194871273.9687574,1.17
Biosafety and Biosecurity,P.6,2013.0,94927373.69720156,1194871273.9687574,7.94
Biosafety and Biosecurity,P.6,2014.0,77709405.43263178,1194871273.9687574,6.50
Biosafety and Biosecurity,P.6,2015.0,80458297.63372152,1194871273.9687574,6.73
Biosafety and Biosecurity,P.6,2016.0,164978971.65841547,1194871273.9687574,13.81
Biosafety and Biosecurity,P.6,2017.0,149253909.52604488,1194871273.9687574,12.49
Biosafety and Biosecurity,P.6,2018.0,168064132.1304293,1194871273.9687574,14.07
Biosafety and Biosecurity,P.6,2019.0,160853031.69654274,1194871273.9687574,13.46
Biosafety and Biosecurity,P.6,2020.0,131067908.90166797,1194871273.9687574,10.97
Biosafety and Biosecurity,P.6,2021.0,72276747.87957415,1194871273.9687574,6.05
Biosafety and Biosecurity,P.6,2022.0,65000875.15226863,1194871273.9687574,5.44
Biosafety and Biosecurity,P.6,2023.0,2777488.4883948,1194871273.9687574,0.23
Biosafety and Biosecurity,P.6,2024.0,265801.1625,1194871273.9687574,0.02
Chemical Events,CE,2011.0,692799.896156414,53357100.86215369,1.30
Chemical Events,CE,2013.0,203637.36385018483,53357100.86215369,0.38
Chemical Events,CE,2014.0,5673486.734140775,53357100.86215369,10.63
Chemical Events,CE,2015.0,3460482.0551555273,53357100.86215369,6.49
Chemical Events,CE,2016.0,8323289.896123252,53357100.86215369,15.60
Chemical Events,CE,2017.0,11593341.769557172,53357100.86215369,21.73
Chemical Events,CE,2018.0,13430719.79283728,53357100.86215369,25.17
Chemical Events,CE,2019.0,7482768.464096034,53357100.86215369,14.02
Chemical Events,CE,2020.0,1366292.9457622208,53357100.86215369,2.56
