Core capacity,Core capacity code,Year,Amount disbursed for year for capacity (nominal USD),Total disbursed post-2013 for capacity (nominal USD),Percentage of total distributed to this capacity in year
Antimicrobial Resistance (AMR),P.3,2014,356704586.85048485,5092430738.746502,7.00
Antimicrobial Resistance (AMR),P.3,2015,422545705.65546834,5092430738.746502,8.30
Antimicrobial Resistance (AMR),P.3,2016,430489287.6534505,5092430738.746502,8.45
Antimicrobial Resistance (AMR),P.3,2017,452396497.3521408,5092430738.746502,8.88
Antimicrobial Resistance (AMR),P.3,2018,399739366.14718866,5092430738.746502,7.85
Antimicrobial Resistance (AMR),P.3,2019,643907814.2819707,5092430738.746502,12.64
Antimicrobial Resistance (AMR),P.3,2020,1004389413.4532735,5092430738.746502,19.72
Antimicrobial Resistance (AMR),P.3,2021,1381200492.0923,5092430738.746502,27.12
Antimicrobial Resistance (AMR),P.3,2022,1057575.2602242713,5092430738.746502,0.02
Biosafety and Biosecurity,P.6,2014,49035867.626367785,870505126.7307811,5.63
Biosafety and Biosecurity,P.6,2015,50454255.30307132,870505126.7307811,5.80
Biosafety and Biosecurity,P.6,2016,133925422.81338663,870505126.7307811,15.38
Biosafety and Biosecurity,P.6,2017,116994190.84598579,870505126.7307811,13.44
Biosafety and Biosecurity,P.6,2018,134278184.24528378,870505126.7307811,15.43
Biosafety and Biosecurity,P.6,2019,161254841.41274822,870505126.7307811,18.52
Biosafety and Biosecurity,P.6,2020,155820377.74930233,870505126.7307811,17.90
Biosafety and Biosecurity,P.6,2021,68741986.73463519,870505126.7307811,7.90
Chemical Events,CE,2014,5673486.734140774,28259887.342089936,20.08
Chemical Events,CE,2015,3460482.0551555273,28259887.342089936,12.25
Chemical Events,CE,2016,7137596.4878154285,28259887.342089936,25.26
Chemical Events,CE,2017,4782765.241020631,28259887.342089936,16.92
Chemical Events,CE,2018,6357980.603622748,28259887.342089936,22.50
Chemical Events,CE,2019,630755.0476607576,28259887.342089936,2.23
Chemical Events,CE,2020,216821.17267406735,28259887.342089936,0.77
Emergency Response Operations,R.2,2014,1328381251.2255208,25269467753.854416,5.26
Emergency Response Operations,R.2,2015,1010122958.2574618,25269467753.854416,4.00
Emergency Response Operations,R.2,2016,1240915606.8241775,25269467753.854416,4.91
Emergency Response Operations,R.2,2017,3151502259.337224,25269467753.854416,12.47
Emergency Response Operations,R.2,2018,3355850809.1841645,25269467753.854416,13.28
Emergency Response Operations,R.2,2019,3389897779.8187723,25269467753.854416,13.41
Emergency Response Operations,R.2,2020,6506305734.106049,25269467753.854416,25.75
Emergency Response Operations,R.2,2021,5285827421.867232,25269467753.854416,20.92
Emergency Response Operations,R.2,2022,663933.2338165634,25269467753.854416,0.00
Food Safety,P.5,2014,213953018.28532642,4051542315.8068995,5.28
Food Safety,P.5,2015,275285268.29397285,4051542315.8068995,6.79
Food Safety,P.5,2016,574110594.7495718,4051542315.8068995,14.17
Food Safety,P.5,2017,655700103.2259107,4051542315.8068995,16.18
Food Safety,P.5,2018,566135265.7850151,4051542315.8068995,13.97
Food Safety,P.5,2019,364294397.47884184,4051542315.8068995,8.99
Food Safety,P.5,2020,472508729.15677303,4051542315.8068995,11.66
Food Safety,P.5,2021,927880672.4157765,4051542315.8068995,22.90
Food Safety,P.5,2022,1674266.415711334,4051542315.8068995,0.04
General IHR Implementation,General IHR,2014,203067271.85372385,1795662891.5272279,11.31
General IHR Implementation,General IHR,2015,402983993.0191567,1795662891.5272279,22.44
General IHR Implementation,General IHR,2016,423645579.4163284,1795662891.5272279,23.59
General IHR Implementation,General IHR,2017,406664967.90754175,1795662891.5272279,22.65
General IHR Implementation,General IHR,2018,184833798.27770332,1795662891.5272279,10.29
General IHR Implementation,General IHR,2019,174456281.0527739,1795662891.5272279,9.72
General IHR Implementation,General IHR,2020,11000,1795662891.5272279,0.00
"IHR Coordination, Communicaton and Advocacy",P.2,2014,935110,14001502.56881166,6.68
"IHR Coordination, Communicaton and Advocacy",P.2,2015,819610.944610125,14001502.56881166,5.85
"IHR Coordination, Communicaton and Advocacy",P.2,2016,817053.4014254125,14001502.56881166,5.84
"IHR Coordination, Communicaton and Advocacy",P.2,2017,4139128.7131234454,14001502.56881166,29.56
"IHR Coordination, Communicaton and Advocacy",P.2,2018,4206531.218354944,14001502.56881166,30.04
"IHR Coordination, Communicaton and Advocacy",P.2,2019,3084068.2912977356,14001502.56881166,22.03
Immunization,P.7,2014,3693098636.21739,45528677910.12076,8.11
Immunization,P.7,2015,4271646678.3248496,45528677910.12076,9.38
Immunization,P.7,2016,4437052319.202656,45528677910.12076,9.75
Immunization,P.7,2017,4958025137.346545,45528677910.12076,10.89
Immunization,P.7,2018,5664595523.37952,45528677910.12076,12.44
Immunization,P.7,2019,6917086564.010188,45528677910.12076,15.19
Immunization,P.7,2020,6037579966.968069,45528677910.12076,13.26
Immunization,P.7,2021,9548867409.11097,45528677910.12076,20.97
Immunization,P.7,2022,725675.560562023,45528677910.12076,0.00
Linking Public Health and Security Authorities,R.3,2014,29905871.323924243,395215249.464372,7.57
