Funder WHO Region,Core capacity,Core capacity code,Total disbursed (nominal USD),Percentage of disbursements for this Core capacity
,Antimicrobial Resistance (AMR),P.3,522824170.39125496,73.40
euro,Antimicrobial Resistance (AMR),P.3,127638683.55930635,17.92
amro,Antimicrobial Resistance (AMR),P.3,49875495.52272925,7.00
wpro,Antimicrobial Resistance (AMR),P.3,11959158.851528343,1.68
,Emergency Response Operations,R.2,5059140423.529538,54.40
euro,Emergency Response Operations,R.2,2511133129.4436736,27.00
amro,Emergency Response Operations,R.2,815480048.3409854,8.77
wpro,Emergency Response Operations,R.2,201588234.46863574,2.17
euro,Food Safety,P.5,116903743.07212661,1.22
,Food Safety,P.5,81560758.11730754,0.85
amro,Food Safety,P.5,55846315.62542062,0.58
wpro,Food Safety,P.5,2439057.7387922746,0.03
euro,Immunization,P.7,7955767414.366423,28.90
,Immunization,P.7,7788390866.25389,28.29
amro,Immunization,P.7,1066272556.8287321,3.87
wpro,Immunization,P.7,704170510.2600892,2.56
emro,Immunization,P.7,397954585,1.45
afro,Immunization,P.7,49849328,0.18
searo,Immunization,P.7,11957905,0.04
,Linking Public Health and Security Authorities,R.3,11661671.226078432,0.04
,Medical Countermeasures and Personnel Deployment,R.4,10859327.000131935,0.04
euro,Medical Countermeasures and Personnel Deployment,R.4,8845218.647849884,0.03
amro,Medical Countermeasures and Personnel Deployment,R.4,379698.6505751449,0.00
,National Laboratory System,D.1,694981938.4481143,2.43
euro,National Laboratory System,D.1,224691343.05235878,0.79
amro,National Laboratory System,D.1,121908368.81869072,0.43
wpro,National Laboratory System,D.1,4630085.377183738,0.02
euro,"National Legislation, Policy, and Financing",P.1,104058729.91845228,0.36
,"National Legislation, Policy, and Financing",P.1,103374119.9196904,0.36
amro,"National Legislation, Policy, and Financing",P.1,52096699.24293281,0.18
,Point of Entry (PoE),PoE,1392367.1699999997,0.00
amro,Point of Entry (PoE),PoE,147958.84,0.00
,Preparedness,R.1,14967943.905787209,0.05
amro,Preparedness,R.1,7127734.87,0.02
wpro,Preparedness,R.1,1552802.7354237516,0.01
euro,Preparedness,R.1,1441546.850490596,0.00
,Radiation Emergencies,RE,149491853.8978544,0.51
euro,Radiation Emergencies,RE,36198952.40145099,0.12
amro,Radiation Emergencies,RE,28203536.35,0.10
wpro,Radiation Emergencies,RE,36614.584074751605,0.00
,Real Time Surveillance,D.2,716173945.4623039,2.38
amro,Real Time Surveillance,D.2,119711123.81289849,0.40
euro,Real Time Surveillance,D.2,87422784.38579729,0.29
wpro,Real Time Surveillance,D.2,4012528.6608343404,0.01
,Reporting,D.3,479510401.8014468,1.57
euro,Reporting,D.3,20202297.403088063,0.07
amro,Reporting,D.3,13682621.209999999,0.04
wpro,Reporting,D.3,10153974.067165714,0.03
,Risk Communication,R.5,35087299.842121884,0.11
euro,Risk Communication,R.5,32858527.722039994,0.11
amro,Risk Communication,R.5,2709708.2103160024,0.01
,Workforce Development,D.4,397008054.1816006,1.28
amro,Workforce Development,D.4,89560538.47000001,0.29
euro,Workforce Development,D.4,11144.840996169512,0.00
,Zoonotic Disease,P.4,674104781.5361648,2.10
euro,Zoonotic Disease,P.4,200679607.8727424,0.63
amro,Zoonotic Disease,P.4,56575297.19849771,0.18
wpro,Zoonotic Disease,P.4,4961449.590739492,0.02
