Funder WHO Region,Core capacity,Core capacity code,Total disbursed (nominal USD),Percentage of disbursements for this Core capacity
,Antimicrobial Resistance (AMR),P.3,2369879500.6608896,69.54
amro,Antimicrobial Resistance (AMR),P.3,653442406.3063455,19.17
euro,Antimicrobial Resistance (AMR),P.3,376171675.5227921,11.04
wpro,Antimicrobial Resistance (AMR),P.3,8433194.361180885,0.25
amro,Biosafety and Biosecurity,P.6,412264352.8343959,77.20
euro,Biosafety and Biosecurity,P.6,94448731.00863698,17.69
,Biosafety and Biosecurity,P.6,27282335.954141155,5.11
wpro,Biosafety and Biosecurity,P.6,7253.539499651184,0.00
euro,Chemical Events,CE,14824718.14035432,52.46
amro,Chemical Events,CE,13435169.201735616,47.54
amro,Emergency Response Operations,R.2,5660659793.6867485,46.99
,Emergency Response Operations,R.2,5364215383.137451,44.53
euro,Emergency Response Operations,R.2,958565385.1179928,7.96
wpro,Emergency Response Operations,R.2,64176783.90277162,0.53
amro,Food Safety,P.5,1470377062.932241,57.98
,Food Safety,P.5,781118905.8644305,30.80
euro,Food Safety,P.5,228181598.54066432,9.00
wpro,Food Safety,P.5,56209433.7238868,2.22
euro,General IHR Implementation,General IHR,1071702034.533412,59.70
amro,General IHR Implementation,General IHR,723327506.9938159,40.30
wpro,General IHR Implementation,General IHR,39350,0.00
amro,"IHR Coordination, Communicaton and Advocacy",P.2,9710462.378062438,73.78
euro,"IHR Coordination, Communicaton and Advocacy",P.2,3355930.190749225,25.50
wpro,"IHR Coordination, Communicaton and Advocacy",P.2,95110,0.72
,Immunization,P.7,23235975751.32295,79.17
amro,Immunization,P.7,4090322971.857965,13.94
euro,Immunization,P.7,1727107023.3386676,5.88
wpro,Immunization,P.7,297805932.12299746,1.01
,Linking Public Health and Security Authorities,R.3,167634502.51790744,61.29
amro,Linking Public Health and Security Authorities,R.3,87439953.34120324,31.97
euro,Linking Public Health and Security Authorities,R.3,18384539.83322174,6.72
wpro,Linking Public Health and Security Authorities,R.3,50519.579655062254,0.02
amro,Medical Countermeasures and Personnel Deployment,R.4,6300882869.569767,86.98
,Medical Countermeasures and Personnel Deployment,R.4,781391712.4245611,10.79
euro,Medical Countermeasures and Personnel Deployment,R.4,129227197.45459759,1.78
wpro,Medical Countermeasures and Personnel Deployment,R.4,32703831.080856897,0.45
,National Laboratory System,D.1,9319858415.988218,66.20
amro,National Laboratory System,D.1,4027869601.2549367,28.61
euro,National Laboratory System,D.1,633298873.8213651,4.50
wpro,National Laboratory System,D.1,96850329.74767356,0.69
,"National Legislation, Policy, and Financing",P.1,7406454686.439329,51.09
amro,"National Legislation, Policy, and Financing",P.1,5282862871.118602,36.44
euro,"National Legislation, Policy, and Financing",P.1,1735734995.7134411,11.97
wpro,"National Legislation, Policy, and Financing",P.1,71900519.3902919,0.50
,Point of Entry (PoE),PoE,1645806042.1302204,66.95
amro,Point of Entry (PoE),PoE,529922592.50245583,21.56
euro,Point of Entry (PoE),PoE,274013965.3228772,11.15
wpro,Point of Entry (PoE),PoE,8524508.780974582,0.35
,Preparedness,R.1,2366288000.86196,66.13
amro,Preparedness,R.1,626402047.4445949,17.51
euro,Preparedness,R.1,558110855.0425653,15.60
wpro,Preparedness,R.1,27316249.302838653,0.76
,Radiation Emergencies,RE,14349315.953000002,41.42
euro,Radiation Emergencies,RE,13365428.310451057,38.58
amro,Radiation Emergencies,RE,6886039.351691835,19.88
wpro,Radiation Emergencies,RE,41582.9641411267,0.12
,Real Time Surveillance,D.2,11695807868.505257,71.65
amro,Real Time Surveillance,D.2,3924485399.2907705,24.04
euro,Real Time Surveillance,D.2,420481693.67971635,2.58
wpro,Real Time Surveillance,D.2,283057541.4238187,1.73
euro,Reporting,D.3,7994863756.639597,57.88
,Reporting,D.3,4010835408.163775,29.04
amro,Reporting,D.3,1711366737.5232987,12.39
wpro,Reporting,D.3,95071864.1485292,0.69
amro,Risk Communication,R.5,848645271.6304903,72.04
,Risk Communication,R.5,287795847.84849566,24.43
euro,Risk Communication,R.5,29394867.911838297,2.50
wpro,Risk Communication,R.5,12213602.78045407,1.04
,Unspecified,Unspecified,44588876540.46797,44.15
amro,Unspecified,Unspecified,39299239006.69534,38.91
euro,Unspecified,Unspecified,15498330695.755894,15.34
wpro,Unspecified,Unspecified,1613169518.4529574,1.60
afro,Unspecified,Unspecified,514662.23872456,0.00
amro,Workforce Development,D.4,8721261501.238386,49.87
,Workforce Development,D.4,5611903346.778021,32.09
euro,Workforce Development,D.4,2496616790.0214243,14.27
wpro,Workforce Development,D.4,659897718.7644958,3.77
,Zoonotic Disease,P.4,3388315915.461234,60.09
amro,Zoonotic Disease,P.4,1276942382.1688085,22.65
euro,Zoonotic Disease,P.4,916030139.1097646,16.25
wpro,Zoonotic Disease,P.4,57213459.29394491,1.01
