"Recipient WHO Region","Core capacity","Core capacity code","Total disbursed (nominal USD)"
afro,Antimicrobial Resistance (AMR),P.3,1407732850.0771756
,Antimicrobial Resistance (AMR),P.3,1355560235.3091257
searo,Antimicrobial Resistance (AMR),P.3,945086585.8663921
euro,Antimicrobial Resistance (AMR),P.3,747482711.8798815
wpro,Antimicrobial Resistance (AMR),P.3,231938393.46732062
amro,Antimicrobial Resistance (AMR),P.3,160667818.74642518
emro,Antimicrobial Resistance (AMR),P.3,69753733.01987642
,Biosafety and Biosecurity,P.6,211573594.23071763
searo,Biosafety and Biosecurity,P.6,206807179.37819463
afro,Biosafety and Biosecurity,P.6,195014958.2252025
emro,Biosafety and Biosecurity,P.6,33695748.04329401
euro,Biosafety and Biosecurity,P.6,22923367.526804697
amro,Biosafety and Biosecurity,P.6,15017001.008762931
wpro,Biosafety and Biosecurity,P.6,4561286.964527812
emro,Chemical Events,CE,23111237.594102487
,Chemical Events,CE,11290251.334936693
afro,Chemical Events,CE,9495626.571103143
euro,Chemical Events,CE,1869998.532753584
afro,Emergency Response Operations,R.2,6335896931.370159
,Emergency Response Operations,R.2,3739591691.8356957
emro,Emergency Response Operations,R.2,2048864885.626477
amro,Emergency Response Operations,R.2,811922938.5683932
euro,Emergency Response Operations,R.2,640913469.5199037
searo,Emergency Response Operations,R.2,604434065.0576746
wpro,Emergency Response Operations,R.2,278017800.6635266
afro,Food Safety,P.5,1450931630.6249769
amro,Food Safety,P.5,370007619.24755764
searo,Food Safety,P.5,285493482.41520476
,Food Safety,P.5,261689456.09371498
wpro,Food Safety,P.5,213990341.52993193
emro,Food Safety,P.5,136886260.73452097
euro,Food Safety,P.5,54493488.72396987
,General IHR Implementation,General IHR,3388888432.273816
afro,General IHR Implementation,General IHR,16299.441744
,"IHR Coordination, Communicaton and Advocacy",P.2,10233735.307262063
afro,"IHR Coordination, Communicaton and Advocacy",P.2,190005.90046600002
afro,Immunization,P.7,17418573013.54507
,Immunization,P.7,11252084206.942226
emro,Immunization,P.7,4766583815.20065
searo,Immunization,P.7,4189051573.750162
wpro,Immunization,P.7,854898998.6993357
amro,Immunization,P.7,730490826.6188599
euro,Immunization,P.7,442153815.4064318
afro,Linking Public Health and Security Authorities,R.3,123719506.03894496
amro,Linking Public Health and Security Authorities,R.3,44099686.80513917
searo,Linking Public Health and Security Authorities,R.3,17163611.25095395
,Linking Public Health and Security Authorities,R.3,13334869.443958197
emro,Linking Public Health and Security Authorities,R.3,4890784.998057344
wpro,Linking Public Health and Security Authorities,R.3,3136744.075238078
euro,Linking Public Health and Security Authorities,R.3,2868890.90133617
,Medical Countermeasures and Personnel Deployment,R.4,4021070675.5663924
afro,Medical Countermeasures and Personnel Deployment,R.4,3611998371.318074
euro,Medical Countermeasures and Personnel Deployment,R.4,102251721.35173479
amro,Medical Countermeasures and Personnel Deployment,R.4,77114323.07894967
emro,Medical Countermeasures and Personnel Deployment,R.4,75145154.8016899
searo,Medical Countermeasures and Personnel Deployment,R.4,57529872.2292691
wpro,Medical Countermeasures and Personnel Deployment,R.4,35279553.62530403
