"Recipient WHO Region","Total disbursed for COVID-19","Year"
afro,5191831015.66658,2020.0
searo,4722188154.787168,2020.0
euro,2303507615.017958,2020.0
emro,2328519731.830137,2020.0
wpro,2250478526.445828,2020.0
amro,1018725176.351017,2020.0
,5188731652.11745,2020.0
afro,3916130130.308812,2021.0
searo,4269301209.735147,2021.0
euro,1288990672.5567014,2021.0
emro,1860153838.4968677,2021.0
wpro,2633862151.6202726,2021.0
amro,1961973181.2747517,2021.0
,13909463854.571335,2021.0
afro,1098083819.9404569,2022.0
searo,1446822101.8332822,2022.0
euro,302071577.9108916,2022.0
emro,967295049.6433839,2022.0
wpro,601938122.8979442,2022.0
amro,242125640.8509156,2022.0
,574596204.7215847,2022.0
