"Recipient WHO Region","Total disbursed (nominal USD)","Year"
afro,9222341839.183609,2016.0
searo,1805430567.3991342,2016.0
euro,633788663.3046528,2016.0
emro,1169545730.956518,2016.0
wpro,651792242.355947,2016.0
amro,713084160.7398015,2016.0
,6646399261.352893,2016.0
afro,10527173048.030256,2017.0
searo,1999008909.666048,2017.0
euro,494630380.48001504,2017.0
emro,1768590617.2072625,2017.0
wpro,684672555.7806802,2017.0
amro,914154983.7445177,2017.0
,6784271146.302675,2017.0
afro,9692817792.733683,2018.0
searo,2038231457.096009,2018.0
euro,547939637.588393,2018.0
emro,1593229791.1847486,2018.0
wpro,818074733.7549993,2018.0
amro,926177022.4532098,2018.0
,7655775815.691318,2018.0
afro,14022516149.677166,2019.0
searo,1741584270.225346,2019.0
euro,474913833.8889789,2019.0
emro,1771631713.3984408,2019.0
wpro,890273992.2776746,2019.0
amro,892759808.5227282,2019.0
,7446975727.490847,2019.0
afro,14757576134.265087,2020.0
searo,2450703733.0659328,2020.0
euro,821722536.9922779,2020.0
emro,2101142256.7690504,2020.0
wpro,999506396.9507314,2020.0
amro,2657156334.7559376,2020.0
,7976761844.6659775,2020.0
afro,14981561137.985071,2021.0
searo,1844190713.2507687,2021.0
euro,1066848365.7149593,2021.0
emro,2335228731.4627485,2021.0
wpro,1063680060.4695228,2021.0
amro,1170210063.3245332,2021.0
,6921081859.69972,2021.0
afro,3513061773.87283,2022.0
searo,704134982.5417161,2022.0
euro,248771909.10711014,2022.0
emro,673448658.7737824,2022.0
wpro,205872509.4177326,2022.0
amro,152487083.6254807,2022.0
,4000112616.2322702,2022.0
