Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD)
1078,United States of America,amro,Americas,Northern America,2014-2016 Ebola in West Africa,652660975.48
1443,United States Agency for International Development (USAID),,,,2014-2016 Ebola in West Africa,652654600.48
1467,World Bank,,,,2014-2016 Ebola in West Africa,369759576.99999994
1525,International Development Association,,,,2014-2016 Ebola in West Africa,302307225
1075,United Kingdom,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,280610502.104566
1102,African Development Bank,,,,2014-2016 Ebola in West Africa,255667624.82912922
1428,United Nations (UN),,,,2014-2016 Ebola in West Africa,212465008.31
913,China,wpro,Asia,Eastern Asia,2014-2016 Ebola in West Africa,163808120.53000003
1430,United Nations Children's Fund (UNICEF),,,,2014-2016 Ebola in West Africa,136493254.7
908,Canada,amro,Americas,Northern America,2014-2016 Ebola in West Africa,108909694.61936668
1249,International Red Cross and Red Crescent Movement,,,,2014-2016 Ebola in West Africa,90685885.83933222
1059,Sweden,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,88631579.21151029
1255,International Federation of Red Cross and Red Crescent Societies,,,,2014-2016 Ebola in West Africa,84527611.3983659
1129,Bill & Melinda Gates Foundation,,,,2014-2016 Ebola in West Africa,61152327.24
869,Germany,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,58433838.43377282
1431,United Nations Development Programme (UNDP),,,,2014-2016 Ebola in West Africa,53689020.00000001
1200,European Union,euro,,,2014-2016 Ebola in West Africa,46454417.29391394
868,Netherlands,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,41023183.93430251
1333,Oxfam International,,,,2014-2016 Ebola in West Africa,40486357.15173742
883,Australia,wpro,Oceania,Australia and New Zealand,2014-2016 Ebola in West Africa,37968630.85003694
1781,Disasters Emergency Committee,,,,2014-2016 Ebola in West Africa,33941462.632688306
973,Japan,wpro,Asia,Eastern Asia,2014-2016 Ebola in West Africa,30770246
1765,Oxfam GB,,,,2014-2016 Ebola in West Africa,28207759.54626118
1154,Chan Zuckerberg Initiative,,,,2014-2016 Ebola in West Africa,25000000
944,Finland,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,20100647.44273058
1017,Norway,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,18944107
1767,UN Pooled Funds,,,,2014-2016 Ebola in West Africa,17642224
1759,United Nations Central Emergency Response Fund (CERF),,,,2014-2016 Ebola in West Africa,17581588.1
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2014-2016 Ebola in West Africa,16057939
927,Denmark,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,14469486.712195199
1334,Oxfam Novib,,,,2014-2016 Ebola in West Africa,12278597.605476243
1460,Wellcome Trust,,,,2014-2016 Ebola in West Africa,12229354.999999998
1896,European Commission - International Partnerships,,,,2014-2016 Ebola in West Africa,11586908.792814758
965,India,searo,Asia,Southern Asia,2014-2016 Ebola in West Africa,10499999.999999998
1501,"Denmark - Ministry of Foreign Affairs, Danida",,,,2014-2016 Ebola in West Africa,10236263.712195197
1030,Republic of Korea,wpro,Asia,Eastern Asia,2014-2016 Ebola in West Africa,8949999.999999998
891,Belgium,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,8945028
970,Israel,euro,Asia,Western Asia,2014-2016 Ebola in West Africa,8750000
1377,Save the Children,,,,2014-2016 Ebola in West Africa,7691931.762786486
1055,Spain,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,7129491.050845778
1758,Netherlands Red Cross,,,,2014-2016 Ebola in West Africa,6158274.440966316
1060,Switzerland,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,5967662
898,Brazil,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,5817901.999999999
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2014-2016 Ebola in West Africa,5741449.707348192
1764,Christian Aid,,,,2014-2016 Ebola in West Africa,5651377.238803683
1082,"Venezuela, Bolivarian Republic of",amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,5000000
979,Kuwait,emro,Asia,Western Asia,2014-2016 Ebola in West Africa,5000000
971,Italy,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,4073611.959731211
1771,The William and Flora Hewlett Foundation,,,,2014-2016 Ebola in West Africa,3500000
1433,United Nations Fund for International Partnerships (UNFIP),,,,2014-2016 Ebola in West Africa,3155809
969,Ireland,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,2928557.9580015065
1026,Philippines,wpro,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,2041742
1352,Plan International,,,,2014-2016 Ebola in West Africa,1895771.0778146773
1350,Plan International USA,,,,2014-2016 Ebola in West Africa,1895769.83
935,Equatorial Guinea,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,1750767
1069,Turkey,euro,Asia,Western Asia,2014-2016 Ebola in West Africa,1500000
1033,Russian Federation,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,1436210
1342,Paul Allen Foundation,,,,2014-2016 Ebola in West Africa,1356530
1454,Volvo Group,,,,2014-2016 Ebola in West Africa,1307360
989,Luxembourg,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,1254328
1432,United Nations Food and Agriculture Organization (FAO),,,,2014-2016 Ebola in West Africa,1175696.51
1663,ZOA,,,,2014-2016 Ebola in West Africa,1026944.1796444395
895,Bolivia,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,1000000
1364,Royal Charity Organisation,,,,2014-2016 Ebola in West Africa,1000000
1000,Mexico,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,1000000
1029,Qatar,emro,Asia,Western Asia,2014-2016 Ebola in West Africa,1000000
1161,China Ministry of Commerce,,,,2014-2016 Ebola in West Africa,820000
945,France,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,635324
1769,Norwegian Refugee Council,,,,2014-2016 Ebola in West Africa,568477.0947656551
1223,GlaxoSmithKline,,,,2014-2016 Ebola in West Africa,562000
1329,OPEC Fund for International Development,,,,2014-2016 Ebola in West Africa,500000
1265,International Union Against Tuberculosis and Lung Disease,,,,2014-2016 Ebola in West Africa,440000
