"Funder category (country, international, or philanthropy)","Recipient category (country, international, or philanthropy)",Year,Amount disbursed for year for capacity (nominal USD),Total disbursed post-2013 for capacity (nominal USD),Percentage of total distributed to this pathway in year
Country,Country,2014,8684661541.270294,74926002919.69931,11.59
Country,Country,2015,8588447219.290542,74926002919.69931,11.46
Country,Country,2016,7523736471.663378,74926002919.69931,10.04
Country,Country,2017,9007243096.975601,74926002919.69931,12.02
Country,Country,2018,8816491474.073496,74926002919.69931,11.77
Country,Country,2019,12908516988.12082,74926002919.69931,17.23
Country,Country,2020,12417333114.568935,74926002919.69931,16.57
Country,Country,2021,6950891438.826292,74926002919.69931,9.28
Country,Country,2022,18781574.909946572,74926002919.69931,0.03
Country,Country,2024,6966666.666666667,74926002919.69931,0.01
Country,Country,2025,2933333.3333333335,74926002919.69931,0.00
Country,International,2014,1818630454.4888887,12938814809.047882,14.06
Country,International,2015,723496022.0666666,12938814809.047882,5.59
Country,International,2016,1999150759.7466736,12938814809.047882,15.45
Country,International,2017,1333842354.3996208,12938814809.047882,10.31
Country,International,2018,1291297395.4386976,12938814809.047882,9.98
Country,International,2019,1420888818.967335,12938814809.047882,10.98
Country,International,2020,2101509003.94,12938814809.047882,16.24
Country,International,2021,2250000000,12938814809.047882,17.39
Country,Other,2014,1690726799.9790223,14019547150.17375,12.06
Country,Other,2015,1708384629.4975722,14019547150.17375,12.19
Country,Other,2016,1834952228.4871702,14019547150.17375,13.09
Country,Other,2017,1932129747.562313,14019547150.17375,13.78
Country,Other,2018,2223048052.804607,14019547150.17375,15.86
Country,Other,2019,1786819589.55491,14019547150.17375,12.75
Country,Other,2020,1662368239.5974648,14019547150.17375,11.86
Country,Other,2021,1181117862.690689,14019547150.17375,8.42
International,Country,2014,7877097866.406836,79595656723.15225,9.90
International,Country,2015,8055898893.410776,79595656723.15225,10.12
International,Country,2016,8577511210.378592,79595656723.15225,10.78
International,Country,2017,9659118453.05192,79595656723.15225,12.14
International,Country,2018,8901253751.514263,79595656723.15225,11.18
International,Country,2019,10359072633.252499,79595656723.15225,13.01
International,Country,2020,14069768013.750942,79595656723.15225,17.68
International,Country,2021,12027868366.783178,79595656723.15225,15.11
International,Country,2022,68067534.60323942,79595656723.15225,0.09
International,Other,2014,261352411.79599127,3788210877.5138817,6.90
International,Other,2015,291435616.5476084,3788210877.5138817,7.69
International,Other,2016,519925532.58958864,3788210877.5138817,13.72
International,Other,2017,414118518.6598596,3788210877.5138817,10.93
International,Other,2018,454683040.2052277,3788210877.5138817,12.00
International,Other,2019,525151849.2614472,3788210877.5138817,13.86
International,Other,2020,532975681.85037243,3788210877.5138817,14.07
International,Other,2021,786370412.4037862,3788210877.5138817,20.76
International,Other,2022,2197814.2,3788210877.5138817,0.06
Philanthropy,Country,2014,1524878537.89975,17086681360.889061,8.92
Philanthropy,Country,2015,1777839261.2658968,17086681360.889061,10.40
Philanthropy,Country,2016,2025822573.0195873,17086681360.889061,11.86
Philanthropy,Country,2017,2229293374.828757,17086681360.889061,13.05
Philanthropy,Country,2018,2423810999.3663535,17086681360.889061,14.19
Philanthropy,Country,2019,2575342621.670276,17086681360.889061,15.07
Philanthropy,Country,2020,2594054917.777306,17086681360.889061,15.18
Philanthropy,Country,2021,1935639075.0611355,17086681360.889061,11.33
Philanthropy,International,2017,23716812,144867719,16.37
Philanthropy,International,2018,40000000,144867719,27.61
Philanthropy,International,2019,20135847,144867719,13.90
Philanthropy,International,2020,61015060,144867719,42.12
Other,Country,2014,8303301.556293472,288632029.4367429,2.88
Other,Country,2015,3820960.0170343285,288632029.4367429,1.32
Other,Country,2016,17517035.10627696,288632029.4367429,6.07
Other,Country,2017,40824074.50636723,288632029.4367429,14.14
Other,Country,2018,51228007.687667795,288632029.4367429,17.75
Other,Country,2019,67094867.69576054,288632029.4367429,23.25
Other,Country,2020,68482903.61119437,288632029.4367429,23.73
Other,Country,2021,31360879.256148193,288632029.4367429,10.87
Other,International,2019,2500000,2500000,100.00
Other,Other,2019,221831.49920680758,2804307.9173830673,7.91
Other,Other,2020,2582476.41817626,2804307.9173830673,92.09
,Country,2014,15782224.369706802,513962138.79454476,3.07
,Country,2015,18815237.61191383,513962138.79454476,3.66
,Country,2016,26180407.12924384,513962138.79454476,5.09
,Country,2017,64301806.29425221,513962138.79454476,12.51
,Country,2018,78195171.0190469,513962138.79454476,15.21
,Country,2019,124294503.26682365,513962138.79454476,24.18
,Country,2020,142766559.3024437,513962138.79454476,27.78
,Country,2021,43424374.5408895,513962138.79454476,8.45
,Country,2022,201855.26022427133,513962138.79454476,0.04
,Other,2020,2620000,2620000,100.00
