Stakeholder ID,Stakeholder name,Top 20 capacity funder?,G-20 member?,Net recipient?
880,Argentina,f,t,t
883,Australia,t,t,f
891,Belgium,t,f,f
898,Brazil,f,t,t
908,Canada,t,t,f
913,China,f,t,t
927,Denmark,t,f,f
1200,European Union,t,t,f
944,Finland,t,f,f
945,France,t,t,f
869,Germany,t,t,f
965,India,f,t,t
966,Indonesia,f,t,t
969,Ireland,t,f,f
971,Italy,t,t,f
973,Japan,t,t,f
1000,Mexico,f,t,t
868,Netherlands,t,f,f
1010,New Zealand,t,f,f
1017,Norway,t,f,f
1030,Republic of Korea,t,t,f
1033,Russian Federation,f,t,t
1042,Saudi Arabia,f,t,t
1053,South Africa,f,t,t
1055,Spain,t,f,f
1059,Sweden,t,f,f
1060,Switzerland,t,f,t
1069,Turkey,f,t,t
1075,United Kingdom,t,t,f
1078,United States of America,t,t,f
