Stakeholder ID,Stakeholder name,Top 20 capacity funder?,G-20 member?,Net recipient?,Nordic?,"Total disbursed for capacity (USD, nominal)",GDP per capita in current USD for 2020,Ratio of disbursed and GDP
969,Ireland,t,f,f,f,96581394.76750085,85267.76474,1132.6835535327866
1060,Switzerland,t,f,t,f,259612279.24718428,87097.03645,2980.724601303978
1030,Republic of Korea,t,t,f,f,139335992.7879371,31631.46945,4404.980078721481
891,Belgium,t,f,f,f,224125312.90553194,45159.34822,4962.988212621549
1010,New Zealand,t,f,f,f,214660832.69976193,41441.46667,5179.856070469572
1055,Spain,t,f,f,f,205768681.19908264,27063.19392,7603.266702642119
927,Denmark,t,f,f,t,494022757.67938316,61063.31643,8090.336171729335
944,Finland,t,f,f,t,452534831.6648692,48744.98813,9283.720214640029
973,Japan,t,t,f,f,439060770.4196654,40193.25244,10923.743259520737
945,France,t,t,f,f,594992242.4709736,39030.36037,15244.34406524988
971,Italy,t,t,f,f,510792848.60712624,31714.22095,16106.113702506895
1017,Norway,t,f,f,t,1158076919.0646117,67329.67779,17200.09596179313
1059,Sweden,t,f,f,t,899211259.102081,52274.40879,17201.748999485546
883,Australia,t,t,f,f,2077680942.7156396,51692.84275,40192.816494226165
868,Netherlands,t,f,f,f,3961994814.967965,52397.11671,75614.74874459681
908,Canada,t,t,f,f,4188554080.6172514,43294.64816,96745.30822234662
869,Germany,t,t,f,f,5567766626.335037,46208.42947,120492.44456468296
1075,United Kingdom,t,t,f,f,10105323939.38021,41059.16881,246116.135135182
1078,United States of America,t,t,f,f,50342084731.75978,63593.44362,791623.819470712
966,Indonesia,f,t,t,f,,3869.588427,
965,India,f,t,t,f,,1927.707823,
1200,European Union,t,t,f,f,6037564263.6106,-999,
1042,Saudi Arabia,f,t,t,f,,20110.31619,
913,China,f,t,t,f,,10434.77519,
1033,Russian Federation,f,t,t,f,,10126.72179,
880,Argentina,f,t,t,f,,8579.017773,
1069,Turkey,f,t,t,f,,8536.43332,
1000,Mexico,f,t,t,f,,8329.271313,
898,Brazil,f,t,t,f,,6796.844542,
1053,South Africa,f,t,t,f,,5655.867654,
