"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
United States of America,1078,18690639242.429756
United Kingdom,1075,5425054062.631864
European Union,1200,3440480717.394572
Canada,908,1802248615.624279
Netherlands,868,1785464789.8252532
Germany,869,1127116127.0677617
Australia,883,965335406.4087936
Norway,1017,716568756.5735841
Sweden,1059,521430230.3503601
Italy,971,290810459.0194923
Denmark,927,277352330.10366565
France,945,240101755.1363313
Finland,944,159822143.56533006
New Zealand,1010,110794479.34883583
Switzerland,1060,97282547.52437516
Belgium,891,85452535.8275188
Spain,1055,39560498.25787088
Japan,973,22778079.349999998
Ireland,969,10803594.767918864
Family Guidance Association of Ethiopia,1831,2768071.53888964
