"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
United States of America,1078,4821762965.556666
European Union,1200,1901351147.5047264
Sweden,1059,1632363209.5127885
Germany,869,1231144528.8105369
France,945,632614310.2007061
United Kingdom,1075,623820626.297985
Netherlands,868,334930083.62909627
New Zealand,1010,283547760.2678257
Switzerland,1060,235012773.3237163
Republic of Korea,1030,185342253.2366923
Canada,908,180321332.85040787
Denmark,927,179599464.1477141
Australia,883,114814224.27124324
Spain,1055,83919576.70082931
Finland,944,47208555.08076358
Ireland,969,27081274.64539977
Belgium,891,25484955.862858444
Italy,971,16878419.106648143
