"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
United States of America,1078,21053132209.694855
Germany,869,4279918254.816358
European Union,1200,3741156406.5833845
United Kingdom,1075,2848809232.1321926
Sweden,1059,1877043193.2011318
Netherlands,868,1284211862.6528563
Canada,908,904046207.1294513
France,945,837501917.9320129
Switzerland,1060,688202702.9775686
Republic of Korea,1030,367019398.52098733
New Zealand,1010,348874444.4753933
Australia,883,343887006.4811891
Denmark,927,316325338.70504886
Finland,944,231641399.1948901
Norway,1017,229492484.95659402
Italy,971,136054028.44727802
Belgium,891,117587910.63236266
Spain,1055,110692013.902573
Ireland,969,27081274.645399768
Family Guidance Association of Ethiopia,1831,4873082.404947309
