"Funder name","Total disbursed (nom. USD)"
United States of America,18303772189.546467
United Kingdom,5086739678.348847
European Union,3411298857.710575
Netherlands,1784712135.6940904
Canada,1699267347.8314865
Germany,1101861504.3311608
Australia,902824986.6361213
Norway,716568756.5735847
Sweden,521430230.35035974
Italy,286320585.01173556
Denmark,275121471.31506366
France,240101755.13633144
Finland,159819677.9229423
New Zealand,107023703.98940751
Switzerland,96420927.74110864
Belgium,85452535.8275188
Spain,39448013.68638686
Japan,22778079.349999998
Ireland,9277822.92563502
Slovakia,5349629.8716250565
Family Guidance Association of Ethiopia,2768071.53888964
Ethiopia,394643.092603739
Slovenia,83344.28706574923
