"Funder name","Total disbursed (nom. USD)"
United States of America,42869736179.43617
United Kingdom,10013176451.499907
European Union,6390521228.521744
Germany,4683232486.55583
Netherlands,3610553164.183897
Canada,3188516477.818512
Australia,1836983524.0248194
Sweden,1042951253.3022652
Norway,989958538.7178047
France,565537963.3139199
Denmark,554786321.1835469
Switzerland,549610857.3949615
Finland,482193639.59795284
Italy,447282846.29462266
Japan,364060770.4196647
New Zealand,222861486.21334514
Spain,207207002.25106016
Belgium,186742555.8468355
Republic of Korea,181677145.28429484
Ireland,96570394.76750092
China,9917303.0
Family Guidance Association of Ethiopia,7641153.943836949
Slovakia,5979087.417276576
Ethiopia,514662.23872456
Luxembourg,440000.0
Slovenia,134836.26292456145
