"Funder name","Total disbursed (nom. USD)"
United States of America,5699247053.609988
European Union,1978543971.3719025
Sweden,1700307664.8417933
Germany,1365223872.284051
United Kingdom,1344908310.1439056
France,632614310.200706
Canada,396536184.3234509
Netherlands,369324844.24436194
New Zealand,290737180.3346023
Switzerland,235874393.10698277
Australia,230987719.3719266
Denmark,192066586.64851126
Republic of Korea,185342253.23669225
Spain,91170440.45066881
China,62768120.53
Finland,57850342.66731108
Ireland,30302504.445685133
Belgium,25484955.862858444
Italy,21509375.335182365
Japan,4706737.617795646
Slovenia,468510.5563232738
Slovakia,18495.562911209116
