"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to int'l orgs. post-2013 for cap. (nom. USD)"
United States of America,1078,5820885521
Germany,869,1075995527
United Kingdom,1075,415222582.42
European Union,1200,329448257.3326
Norway,1017,263084614
Canada,908,190429722.8068794
Japan,973,182426007
Netherlands,868,179832344.06480333
Australia,883,95295266.25465399
France,945,50028777
Denmark,927,35393161
Italy,971,17158982
Switzerland,1060,15085125
Sweden,1059,11570573
Spain,1055,11052270
Republic of Korea,1030,10759380
Belgium,891,10313140.45188
Ireland,969,10164449
Finland,944,5403753.0
New Zealand,1010,4655404.0
