"Funder name","Total disbursed (nom. USD)"
Germany,1075995527
United Kingdom,402223144
European Union,327856746
Norway,235111966.48
Japan,182378007
Canada,175871311.5144
Saudi Arabia,163000000
Kuwait,85500000
Netherlands,68694308
United States of America,60348603
Iran,51793834
France,50028777
Denmark,35393161
China,25100000
Yemen,20000000
Italy,17158982
Afghanistan,15261849
Switzerland,15085125
Australia,13457644
Guinea Bissau,11831789
Sweden,11570573
Spain,11052270
Republic of Korea,10759380
Ireland,10164449
Belgium,10094836
Azerbaijan,10000000
East African Community,8518534.0
Gabon,6827642.0
Lebanon,5562072.0
Finland,5403753.0
New Zealand,4655404.0
Austria,4616884.0
Madagascar,3700000.0
Sao Tome and Principe,3329579.0
Central African Republic,2450000.0
Serbia,2303753.0
Chad,2145554.0
Luxembourg,2133509.0
Guinea,1794462.0
Philippines,1459153.0
Comoros,1356625.0
Democratic Republic of the Congo,1285398.0
Mali,1106717.0
Liberia,1073696.0
Indonesia,1000000.0
Mauritania,933169.0
Portugal,830416.0
Singapore,800000.0
Hungary,800000.0
Cameroon,695827.0
Mexico,600000.0
Libya,480000.0
Cote d'Ivoire,439351.0
Monaco,411281.0
Slovakia,398866.0
Egypt,356830.0
Liechtenstein,320513.0
Czech Republic,258176.0
Iceland,204290.0
Romania,200000.0
Lesotho,162912.0
Thailand,150000.0
Bulgaria,111982.0
Lithuania,111765.0
Holy See,111720.0
Cyprus,110376.0
Estonia,108578.0
Slovenia,67873.0
Malta,59737.0
Israel,43267.0
