"Funder name (int'l orgs. only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
Global Alliance for Vaccines and Immunisation (GAVI),1224,18159160951.77999
World Bank,1467,12232789620.67023
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",1411,11772137239.590002
Asian Development Bank,1120,11576873181.560009
United Nations (UN),1428,5522196000.157591
African Development Bank,1102,2804901783.066764
World Health Organization (WHO),1472,2016688323.1614978
Inter-American Development Bank,1244,1890092128
International Rescue Committee,1261,707764459.0146906
Sightsavers,1383,136339014.2173346
Malaria Consortium,1286,110575208.96272653
MSI Reproductive Choices,1623,105422891.24211353
Action Against Hunger,1093,54996903.9673312
International Planned Parenthood Federation,1260,53323706.20717538
Save the Children,1377,44098719.62095978
Options Consultancy Services,1331,36199489.90956259
Clinton Health Access Initiative,1168,31057977.66831646
Plan International,1352,24688212.440300617
Palladium International Limited,1335,9644060.175289348
