"Funder name (int'l orgs. only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",1411,10772278012.539995
World Bank,1467,5739237171.010232
United Nations (UN),1428,3801686539.946885
Global Alliance for Vaccines and Immunisation (GAVI),1224,2853081340.389999
World Health Organization (WHO),1472,1328431442.621497
International Rescue Committee,1261,707688621.8346905
Inter-American Development Bank,1244,671903105
Asian Development Bank,1120,374591339.6600001
Sightsavers,1383,133552247.01207866
Malaria Consortium,1286,110534309.13724373
MSI Reproductive Choices,1623,105422891.24211356
International Planned Parenthood Federation,1260,53323706.20717539
Action Against Hunger,1093,48229772.305144936
African Development Bank,1102,42165740.27638751
Options Consultancy Services,1331,36199489.909562595
Save the Children,1377,33662050.5517224
Clinton Health Access Initiative,1168,30886498.694186214
Palladium International Limited,1335,9644060.175289348
Plan International,1352,8442727.53951663
