"Funder name","Total disbursed (nom. USD)"
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",10772278012.539991
World Bank,5739237171.010236
United Nations (UN),3801686539.946886
Global Alliance for Vaccines and Immunisation (GAVI),2853081340.3900003
World Health Organization (WHO),1328431442.6215036
International Rescue Committee,707688621.8346906
Inter-American Development Bank,671903105
Asian Development Bank,374591339.65999997
Sightsavers,133552247.01207867
Malaria Consortium,110534309.13724372
MSI Reproductive Choices,105422891.24211355
International Planned Parenthood Federation,53323706.2071754
Action Against Hunger,48229772.30514493
Development Initiatives Poverty Research,44089690.53275884
African Development Bank,42165740.27638751
Options Consultancy Services,36199489.90956259
IMA World Health,36059721.96630907
Save the Children,33662050.55172239
Clinton Health Access Initiative,30886498.694186226
Concern Worldwide,29388212.275683157
Cordaid,20921472.532514095
Guttmacher Institute,20840976.169999998
World Vision International,18073566.205626417
Voluntary Service Overseas (VSO),15726823.226987522
Aidsfonds - Soa Aids Nederland,11550903.799136344
Palladium International Limited,9644060.175289348
Plan International,8442727.539516628
Nutrition International,7827663.702730783
Frontline AIDS,7413149.123891052
Elrha,5902438.652828201
Health Insurance Fund,5900299.648330558
Simavi,4297558.102572642
Send a Cow,3493077.318598139
EngenderHealth Ethiopia,3200685.0
HelpAge International,3199436.3293240126
Multilateral Investment Fund,2750000.0
International Development Law Organization (IDLO),2475049.8070021393
International Medical Corps UK,2105866.2978165564
ICCO Cooperation,1993222.0496484234
Oxfam International,1535790.768204857
Stichting Red een Kind,1293309.608812845
UK-Med,1059620.7294691904
International Red Cross and Red Crescent Movement,776042.6898906621
Mercy Ships UK Limited,738959.4550835505
We World - GVC Onlus,726492.3384109706
Christian Blind Mission (UK) Ltd.,693053.9506937021
Medicos del Mundo,682005.4787206848
Stichting Vluchteling,529557.5658229559
Farm Africa,499999.6453930168
Compassion UK,467648.2084043043
ActionAid International,428809.80814057065
Minority Rights Group,411730.4964322628
Royal National Lifeboat Institution (RNLI),397550.3224818846
The Fred Hollows Foundation (UK),390020.5740602773
The Global Forum on MSM & HIV (MSMGF),387722.68029302894
FHI360,351277.08362419374
Tearfund,349300.17229442607
Leonard Cheshire Disability,322544.6681226564
Doctors with Africa CUAMM,318813.4690773868
Global Green Growth Institute (GGGI),306685.6
Young Africa International HUB,272035.7529826055
Child.org,261646.16401505962
Restless Development,248101.91730287473
Worldwide Hospice Palliative Care Alliance,182332.65920572236
World Jewish Relief,154423.81148908363
DeafKidz International,132288.27967128705
African Initiatives,68994.68894559339
Joshua Orphan and Community Care,64383.33564641245
Relief International UK,63630.575341543496
kidasha,54884.36888935965
Anti-Slavery International,29204.98470514312
Practical Action,20394.341808866033
