"Funder name","Total disbursed (nom. USD)"
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",31301329929.160007
World Bank,13053372782.184767
United Nations (UN),11494314151.995573
Global Alliance for Vaccines and Immunisation (GAVI),10844200212.100021
Inter-American Development Bank,2685462729
World Health Organization (WHO),1412631712.421499
Asian Development Bank,1202730790.0400004
International Rescue Committee,830553639.4834464
Plan International,457931362.03230983
Sightsavers,411122551.84252757
Malaria Consortium,330880919.3639374
MSI Reproductive Choices,298008605.5930487
Save the Children,266370216.46373403
African Development Bank,225958796.5466573
Abt Associates Inc,216917329.47141543
Palladium International Limited,151469529.76797807
International Planned Parenthood Federation,128817544.98019
Options Consultancy Services,123780988.78371918
Action Against Hunger,116390983.29595819
Clinton Health Access Initiative,79879558.5289545
International Labour Organization (ILO),76023509
Oxfam International,71017898.50580567
Concern Worldwide,54883889.61295669
Cordaid,54610238.59561053
IMA World Health,47229173.24327989
Voluntary Service Overseas (VSO),44960381.6046817
Development Initiatives Poverty Research,44090628.494308785
Guttmacher Institute,35646655.11
Frontline AIDS,34543272.132569306
World Vision International,32203743.89714845
Restless Development,27704345.552234236
HelpAge International,25655707.443173293
Aidsfonds - Soa Aids Nederland,22684223.17869192
Nutrition International,19506359.56398442
Health Insurance Fund,17426681.31351838
ICCO Cooperation,17055463.024145342
Simavi,14002243.47348137
Crown Agents Limited,10941665.455925785
Send a Cow,8919115.627619661
Aeras,7420427.539999999
EngenderHealth Ethiopia,7187235.0
Elrha,6057013.119049121
International Development Law Organization (IDLO),5856002.048057664
The Global Forum on MSM & HIV (MSMGF),5565156.823856215
Multilateral Investment Fund,5128588.0
We World - GVC Onlus,4361399.303120316
International Medical Corps UK,3832682.037363697
International Red Cross and Red Crescent Movement,3622228.8247951176
Tropical Health and Education Trust,1863213.2051039764
Tearfund,1794891.316499228
Samaritan's Purse UK,1475389.694005284
Doctors with Africa CUAMM,1449805.9979995156
Stichting Red een Kind,1293309.608812845
ADRA-UK,1264740.1379693083
ActionAid International,1194009.1880990549
UK-Med,1059620.7294691904
Aga Khan Foundation (United Kingdom),1041792.947249616
Farm Africa,984088.6306455331
United Purpose,972122.589164275
Relief International UK,923425.4332774766
Stichting Vluchteling,892962.9050608729
Christian Blind Mission (UK) Ltd.,851228.7021519836
International Initiative for Impact Evaluation,782738.2640026768
Young Africa International HUB,782102.7898249908
Afrikagrupperna Sweden,741679.5393466799
Mercy Ships UK Limited,738959.4550835505
Medicos del Mundo,682005.4787206848
Hivos,673420.4150658932
The Fred Hollows Foundation (UK),646138.9964590492
ARK (Absolute Return for Kids),646048.8455827428
Leonard Cheshire Disability,609998.1279100913
Agency for Cooperation and Research in Development (ACORD),592737.1388392325
ChildHope UK,549401.7856809765
Royal National Lifeboat Institution (RNLI),542094.1339339757
Compassion UK,467648.2084043043
BasicNeeds,454095.1812431589
Alliance of Religions and Conservation,418593.9317023003
Minority Rights Group,411730.4964322628
Worldwide Hospice Palliative Care Alliance,386981.2264036184
FHI360,351277.08362419374
Target TB,322436.3567052824
Global Green Growth Institute (GGGI),306685.6
Child.org,302376.37223531806
DeafKidz International,276752.60405744065
ZOA,261854.84710081466
African Initiatives,246627.0043206085
World Jewish Relief,192018.3811675765
CODA International,165724.1730555906
Survivors Fund (SURF),129605.61320175114
Joshua Orphan and Community Care,123666.8348626321
Anti-Slavery International,118266.8737050026
kidasha,70737.97486575472
Scottish Catholic International Aid Fund (SCIAF),45315.373527670985
Practical Action,20394.341808866033
African Population and Health Research Center,10000.0
