"Funder name","Total disbursed (nom. USD)"
Global Alliance for Vaccines and Immunisation (GAVI),15306079611.390007
Asian Development Bank,11202281841.9
World Bank,6493552449.66
African Development Bank,2762736042.790376
United Nations (UN),1720509460.2107108
Inter-American Development Bank,1218189023
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",999859227.05
World Health Organization (WHO),688256880.5399997
International Red Cross and Red Crescent Movement,549865067.6235071
OCHA Country Based Pooled Funds,236607721.2400001
European Bank for Reconstruction and Development,58426124.57585758
Oxfam International,48394480.89588401
International Fund for Agricultural Development (IFAD),20404759.688620605
Plan International,16245484.900783988
Save the Children,10436669.069237392
Cordaid,10334541.718524907
Christian Aid,8905331.559391452
Stichting Beheer Subsidiegelden DRA,7299202.300231565
Action Against Hunger,6767131.662186283
Simavi,6679277.479524534
HelpAge International,6077035.001448863
ActionAid International,4893623.6291769855
Norwegian Refugee Council,4284709.447342173
GlobalGiving.org,3550019.0
World Vision International,2983914.0602689073
Sightsavers,2786767.2052558707
Concern Worldwide,1616720.9425140577
People in Need,1596795.4248194443
Aga Khan Foundation (United Kingdom),1290525.8900786473
Tearfund,1282091.3175436035
Stichting Vluchteling,1174234.2856775336
Danish Refugee Council,1158116.4294621006
International Development Law Organization (IDLO),788380.3216151712
Relief International UK,781165.0689193463
Penal Reform International,562465.4084507042
DanChurchAid,552411.8892642664
International IDEA,479998.2214517982
Practical Action,430172.68824008026
Mercy Corps Europe,332408.8107155285
Edukans Foundation,324275.6024457334
Multilateral Investment Fund,300000.0
RedR UK,270889.23714950436
BBC Media Action,240186.69544451818
Stichting Red een Kind,211339.78777822942
Ground Truth Solutions,193543.30597760004
Clinton Health Access Initiative,171478.97413025037
ADD International (Action on Disability and Development),167106.32391524158
MapAction,137032.28801230752
Handicap International Federation,117868.23826099175
Zoological Society of London,105554.91103670612
International Rescue Committee,75837.18
CDAC Network,46113.857020856274
Malaria Consortium,40899.82548279896
World Jewish Relief,20986.671971210737
