"Funder name","Total disbursed (nom. USD)"
Global Alliance for Vaccines and Immunisation (GAVI),15840845825.60001
Asian Development Bank,11202281841.9
World Bank,7199209913.660003
African Development Bank,2960537784.9161134
United Nations (UN),2842358682.15151
Inter-American Development Bank,1218189023
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",999859227.05
World Health Organization (WHO),783379616.2399993
International Red Cross and Red Crescent Movement,669476749.4922832
OCHA Country Based Pooled Funds,239886731.72000024
Oxfam International,96183310.71501607
European Bank for Reconstruction and Development,58426124.57585758
International Fund for Agricultural Development (IFAD),20404759.688620605
Plan International,18141255.97859867
Save the Children,18128600.832023878
UN Pooled Funds,17523224
Christian Aid,10990278.596247552
Cordaid,10334541.718524903
Stichting Beheer Subsidiegelden DRA,7299202.300231565
Action Against Hunger,6767131.662186283
Simavi,6679277.479524535
HelpAge International,6580027.571749669
ActionAid International,4893623.629176987
Norwegian Refugee Council,4853186.542107829
GlobalGiving.org,3755443.0
World Vision International,3073914.060268907
Sightsavers,2839504.2511119973
Concern Worldwide,1616720.9425140575
People in Need,1596795.4248194443
Aga Khan Foundation (United Kingdom),1290525.8900786473
Tearfund,1282091.3175436035
Stichting Vluchteling,1174234.2856775336
Danish Refugee Council,1158116.4294621006
ZOA,1026944.1796444395
International Development Law Organization (IDLO),788380.3216151713
Relief International UK,781165.0689193463
Penal Reform International,562465.4084507042
DanChurchAid,552411.8892642662
International IDEA,479998.2214517982
Practical Action,442216.8076334452
Mercy Corps Europe,332408.8107155285
Edukans Foundation,324275.6024457334
Multilateral Investment Fund,300000.0
RedR UK,270889.23714950436
BBC Media Action,240186.69544451818
International Rescue Committee,234236.69884214678
Stichting Red een Kind,211339.78777822942
Ground Truth Solutions,193543.30597760004
Clinton Health Access Initiative,171478.97413025037
ADD International (Action on Disability and Development),167106.32391524158
International Labour Organization (ILO),163633.0
MapAction,137032.28801230752
Handicap International Federation,117868.23826099175
Zoological Society of London,105554.91103670612
CDAC Network,46113.857020856274
Malaria Consortium,40975.03294031047
World Jewish Relief,20986.671971210737
