"Funder name","Total disbursed (nom. USD)"
Bill & Melinda Gates Foundation,8926199370.667952
King Salman Humanitarian Aid and Relief Centre,196583374
The Power of Nutrition,108974583
Charity Projects Ltd (Comic Relief),7560438.892645087
The Access to Nutrition Foundation,5574112.318329275
Access to Medicine Foundation,2958297.314661853
Yamaan Foundation for Health and Social Development,1636799.9123768983
Royal Tropical Institute,1578133.0644360709
LAMB Health Care Foundation,313982.74792089756
Abaseen Foundation UK,102590.05850135433
Fundación Oriéntame,13920.0
