"Funder name","Total disbursed (nom. USD)"
Bill & Melinda Gates Foundation,16506099792.294209
King Salman Humanitarian Aid and Relief Centre,271600881
The Power of Nutrition,122078583
Charity Projects Ltd (Comic Relief),38604313.263953134
Access to Medicine Foundation,6635132.09231517
The Access to Nutrition Foundation,5574112.3183292765
Elton John AIDS Foundation,2697352.5278793266
Yamaan Foundation for Health and Social Development,2502875.2977610966
Royal Tropical Institute,1991279.345151948
Abaseen Foundation UK,358988.65963593795
LAMB Health Care Foundation,321602.2030441738
SOS Children's Villages The Netherlands,244110.60340929168
Fundación Oriéntame,13920.0
